geometry,optimizer,seed,window,first_task,last_task,series_status,has_all_tasks,R,n_finite_R,R_div_sqrt_d,n_finite_R_div_sqrt_d,R_div_sqrt_trace,n_finite_R_div_sqrt_trace,raw_W_RMS,n_finite_raw_W_RMS,A_width,n_finite_A_width,D_eff,n_finite_D_eff,D_div_sqrt_d,n_finite_D_div_sqrt_d,D_div_sqrt_trace,n_finite_D_div_sqrt_trace,delta_W_RMS,n_finite_delta_W_RMS,A_displacement,n_finite_A_displacement
rgb32,adam,300,early,6,15,COMPLETE,True,145.30791632376133,10,2.621673893903351,10,10.440379515667868,10,0.3998686605263079,10,2.622918030402325,10,90.4268498817996,10,1.6314989412883398,10,6.497172728489067,10,0.20475020695664056,10,3.1837441055409474,10
rgb32,adam,300,late,41,50,COMPLETE,True,183.4684515087676,10,3.310173745824712,10,13.18221547293782,10,0.764962173266385,10,1.717623647289669,10,102.92408057638602,10,1.8569764258397252,10,7.395099246515945,10,0.2155017696014351,10,3.4098808654781028,10
rgb32,adam,301,early,6,15,COMPLETE,True,144.72484724749725,10,2.611154047399063,10,10.500615318546444,10,0.3992116154547023,10,2.6415155127164764,10,89.02318759704329,10,1.6061737913522345,10,6.459141364915224,10,0.2077904551298344,10,3.1041752963169174,10
rgb32,adam,301,late,41,50,COMPLETE,True,180.65075383258826,10,3.2593362923298015,10,13.107245293943425,10,0.7672605560022732,10,1.707497578464816,10,100.9957281351258,10,1.8221847133067857,10,7.327817649375987,10,0.2160785305205886,10,3.3887328273646196,10
rgb32,adam,302,early,6,15,COMPLETE,True,145.81924942356164,10,2.630899465866328,10,10.544289478170306,10,0.40051770978427015,10,2.604990686708761,10,89.65324243978779,10,1.617541364260446,10,6.482887168043251,10,0.20549689391663767,10,3.134718156497847,10
rgb32,adam,302,late,41,50,COMPLETE,True,183.22158126926286,10,3.3057196645986817,10,13.248877628902736,10,0.7684146113861634,10,1.7197409306989315,10,101.09748315072632,10,1.8240205972332968,10,7.310428026956074,10,0.21587010015943914,10,3.3727094095386465,10
rgb32,adam,303,early,6,15,COMPLETE,True,147.72187512224735,10,2.6652270114695567,10,10.651713244629033,10,0.39422578033049427,10,2.70323226555203,10,90.01764359861684,10,1.6241159613586633,10,6.490860786706046,10,0.20210165924172224,10,3.2086894039615723,10
rgb32,adam,303,late,41,50,COMPLETE,True,182.08289633552886,10,3.2851752879420095,10,13.12936758291578,10,0.7666726250541307,10,1.7029870870426205,10,98.01916744405872,10,1.7684810221740723,10,7.067822983071183,10,0.21791249613734248,10,3.261183065983633,10
rgb32,adam,304,early,6,15,COMPLETE,True,143.64420746431898,10,2.5916569327204693,10,10.414002337369979,10,0.3951368822177019,10,2.6413618229332942,10,89.73948183042798,10,1.6190973122417227,10,6.505985796667701,10,0.20376845490256512,10,3.1698022232658203,10
rgb32,adam,304,late,41,50,COMPLETE,True,183.5863674766714,10,3.3123012088188064,10,13.309752573811412,10,0.7638831093016425,10,1.7462649550051177,10,101.35250334269948,10,1.8286217214984373,10,7.347913468570266,10,0.21702330114982726,10,3.3738458040789876,10
rgb32,sgd,300,early,6,15,COMPLETE,True,39.11684610347156,10,0.7057538008652646,10,2.8105469344579297,10,0.06430511731894557,10,4.3398518000629736,10,16.63674183969393,10,0.30016335561205,10,1.1953505569757583,10,0.03221214294409802,10,3.722473640138153,10
rgb32,sgd,300,late,41,50,COMPLETE,True,41.09861633562548,10,0.7415092876467038,10,2.9529372037564015,10,0.09511167315310248,10,3.104753833611496,10,16.41270603862311,10,0.2961212577977891,10,1.1792535758376872,10,0.03240637514191664,10,3.6231988209866874,10
rgb32,sgd,301,early,6,15,COMPLETE,True,40.20285237185673,10,0.725347738721321,10,2.916946851173688,10,0.06503537008404875,10,4.47893278813529,10,16.001424418441726,10,0.2887008342313995,10,1.1609948503141916,10,0.03211876286956619,10,3.666761975701133,10
rgb32,sgd,301,late,41,50,COMPLETE,True,41.07355281329742,10,0.7410570866666117,10,2.9801211475515705,10,0.09467758722467132,10,3.1607602557660393,10,15.726561983780595,10,0.2837417123363457,10,1.1410520087994942,10,0.03204020680121483,10,3.5503578039464925,10
