arm,task,kind,eps,kappa_total_mean,kappa_self_mean,kappa_rest_mean,kappa_total_positive_fraction,tangent_force_mean,self_tangent_force_mean,rest_tangent_force_mean,effective_v2_gate2_mean
LIN_q0,500,mean,0.05,0.06588238254827096,0.06588238254827095,0.0,1.0,0.00103915073955463,-0.0008520394396222561,0.0018911901791768865,0.0032145020199336296
LIN_q0,500,width,0.05,0.0016072510099668178,0.0016072510099668148,0.0,1.0,0.00103915073955463,-0.0008520394396222561,0.0018911901791768865,0.0032145020199336296
LR_a0p1_q0,500,mean,0.05,1.0582295965387671,1.0217114537748622,0.03651814276390558,0.991,0.00013553154205110088,-0.0916861673040274,0.09182169884607852,0.04934157548104201
LR_a0p1_q0,500,width,0.05,0.05224050829008138,0.05161691956632682,0.0006235887237545545,0.991,0.00013553154205110088,-0.0916861673040274,0.09182169884607852,0.04934157548104201
LR_a0p1_qm05,500,mean,0.05,0.9442991184169198,0.30566664525936604,0.6386324731575537,0.9970000000000001,6.745588870286971e-06,-0.04833784931559457,0.04834459490446484,0.04519537544885061
LR_a0p1_qm05,500,width,0.05,0.0483265226512002,0.022613319611020755,0.025713203040179444,0.999,6.745588870286971e-06,-0.04833784931559457,0.04834459490446484,0.04519537544885061
LR_a0p1_qp05,500,mean,0.05,0.10271479767719441,0.10149160663091646,0.0012231910462777878,1.0,3.963791317371148e-05,-0.009327855820967382,0.009367493734141093,0.004040802850703419
LR_a0p1_qp05,500,width,0.05,0.0038990910200175843,0.004458491743302528,-0.0005594007232849434,0.998,3.963791317371148e-05,-0.009327855820967382,0.009367493734141093,0.004040802850703419
LR_a0p3_q0,500,mean,0.05,1.199517929131749,1.1978314187100145,0.0016865104217344985,1.0,2.2486036171369015e-05,-0.07260955444564667,0.07263204048181802,0.057699289559951294
LR_a0p3_q0,500,width,0.05,0.04414240805565016,0.04418471207366587,-4.2304018015700226e-05,1.0,2.2486036171369015e-05,-0.07260955444564667,0.07263204048181802,0.057699289559951294
LR_a0p3_qm05,500,mean,0.05,1.0953129366904484,0.5278553929493414,0.5674575437411069,0.9970000000000001,7.682163969174749e-06,-0.04552832156846688,0.045536003732436055,0.052419292600482614
LR_a0p3_qm05,500,width,0.05,0.03633609426181678,0.0248647524229973,0.011471341838819487,0.999,7.682163969174749e-06,-0.04552832156846688,0.045536003732436055,0.052419292600482614
LR_a0p3_qp05,500,mean,0.05,1.1358105136856183,1.5785336457266834,-0.44272313204106445,0.994,-8.691128159262894e-06,-0.11310587651382727,0.113097185385668,0.053364551019353904
LR_a0p3_qp05,500,width,0.05,0.04323112497280821,0.05255287569239173,-0.009321750719583525,0.994,-8.691128159262894e-06,-0.11310587651382727,0.113097185385668,0.053364551019353904
LR_a0p7_q0,500,mean,0.05,1.315298429875855,0.9210859114291716,0.3942125184466832,0.772,0.000892050614341709,-0.051922271464894386,0.0528143220792361,0.04485677192031248
LR_a0p7_q0,500,width,0.05,0.02895838614761088,0.02402706101582154,0.004931325131789347,0.943,0.000892050614341709,-0.051922271464894386,0.0528143220792361,0.04485677192031248
LR_a0p7_qm05,500,mean,0.05,0.8156488966018116,0.652928297962122,0.16272059863968963,0.9970000000000001,0.0006633331565583267,-0.05540977272468369,0.056073105881242036,0.03488800924950029
LR_a0p7_qm05,500,width,0.05,0.01846063100413785,0.017550710925349083,0.0009099200787887656,1.0,0.0006633331565583267,-0.05540977272468369,0.056073105881242036,0.03488800924950029
LR_a0p7_qp05,500,mean,0.05,0.9296289334439176,0.869491365667292,0.06013756777662564,0.9950000000000001,0.0003262938334607383,-0.06825358928847149,0.06857988312193222,0.0386952028624182
LR_a0p7_qp05,500,width,0.05,0.022369272859258545,0.0217999199646502,0.0005693528946083411,0.9950000000000001,0.0003262938334607383,-0.06825358928847149,0.06857988312193222,0.0386952028624182
SN_normal_q0,500,mean,0.05,0.8853850770280257,0.7965740187961539,0.08881105823187167,1.0,4.3185488698778604e-09,-0.034205025543183734,0.0342050298617326,0.04317730580163521
