arm,seed,eps,metric,start_task,group,n,final_inside,final_shrunk,ever_changed,never_changed,median_final_growth,final_v_rms,final_output_variance,mean_occupancy_after_start
SN_normal_q0,0,0.05,mean,20,inside,8,1,4,8,0,0.8826409385671157,0.231037068065607,0.026683402146759107,0.04261954261954262
SN_normal_q0,0,0.05,mean,20,outside,92,2,24,92,0,1.4127794818529407,0.20189510039231814,0.03612999309353459,0.0403597577510621
SN_normal_q0,0,0.05,mean,100,inside,0,0,0,0,0,,,,
SN_normal_q0,0,0.05,mean,100,outside,100,3,28,100,0,1.3664137324202934,0.20437942945183704,0.03537426581779255,0.039251870324189524
SN_normal_q0,0,0.05,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,0,0.05,all_inputs,20,outside,100,0,28,0,100,1.3664137324202934,0.20437942945183704,0.03537426581779255,0.0
SN_normal_q0,0,0.05,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,0,0.05,all_inputs,100,outside,100,0,28,0,100,1.3664137324202934,0.20437942945183704,0.03537426581779255,0.0
SN_normal_q0,0,0.1,mean,20,inside,17,2,7,17,0,1.0967316554688333,0.19966005702816486,0.0151273082638969,0.08707349883820473
SN_normal_q0,0,0.1,mean,20,outside,83,5,21,83,0,1.416296759816178,0.20533266472848438,0.0395212330276266,0.08070535781379155
SN_normal_q0,0,0.1,mean,100,inside,4,0,1,4,0,1.5256924859684586,0.21005964497237437,0.006560506689745724,0.10037406483790523
SN_normal_q0,0,0.1,mean,100,outside,96,7,27,96,0,1.3664137324202934,0.20413932386266465,0.0365748391147945,0.07811201163757274
SN_normal_q0,0,0.1,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,0,0.1,all_inputs,20,outside,100,0,28,0,100,1.3664137324202934,0.20437942945183704,0.03537426581779255,0.0
SN_normal_q0,0,0.1,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,0,0.1,all_inputs,100,outside,100,0,28,0,100,1.3664137324202934,0.20437942945183704,0.03537426581779255,0.0
SN_normal_q0,0,0.2,mean,20,inside,24,6,10,24,0,1.1499702171837778,0.24101412811213116,0.05099220060402541,0.16632016632016633
SN_normal_q0,0,0.2,mean,20,outside,76,11,18,76,0,1.4274256066526814,0.19135897925359202,0.030442286411613752,0.16481562534194114
SN_normal_q0,0,0.2,mean,100,inside,12,0,4,12,0,1.5911218063872035,0.2444557746008171,0.058319543258620925,0.1731088944305902
SN_normal_q0,0,0.2,mean,100,outside,88,17,24,88,0,1.3532874357511195,0.19828788785837773,0.032245364348588684,0.15761732033552484
SN_normal_q0,0,0.2,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,0,0.2,all_inputs,20,outside,100,0,28,3,97,1.3664137324202934,0.20437942945183704,0.03537426581779255,0.0006237006237006237
SN_normal_q0,0,0.2,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,0,0.2,all_inputs,100,outside,100,0,28,3,97,1.3664137324202934,0.20437942945183704,0.03537426581779255,0.0007231920199501247
SN_normal_q0,1,0.05,mean,20,inside,8,0,0,8,0,1.5935847073870044,0.1835239791868244,0.013225896980608373,0.04287941787941788
SN_normal_q0,1,0.05,mean,20,outside,92,3,27,92,0,1.4128365883674467,0.19581750056282035,0.030877075537120147,0.03859712555364729
SN_normal_q0,1,0.05,mean,100,inside,3,0,0,3,0,1.6189976169251479,0.18503875583572113,0.012430110541963609,0.04239401496259352
SN_normal_q0,1,0.05,mean,100,outside,97,3,27,97,0,1.444862136095054,0.19515850783408248,0.029991832924062163,0.03812633365041006
SN_normal_q0,1,0.05,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,1,0.05,all_inputs,20,outside,100,0,27,0,100,1.4455108543963413,0.19486256212895747,0.029464981252599207,0.0
SN_normal_q0,1,0.05,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,1,0.05,all_inputs,100,outside,100,0,27,0,100,1.4455108543963413,0.19486256212895747,0.029464981252599207,0.0
SN_normal_q0,1,0.1,mean,20,inside,13,1,2,13,0,1.568171797848861,0.16763639454850104,0.0106786389935432,0.08475931552854629
SN_normal_q0,1,0.1,mean,20,outside,87,7,25,87,0,1.434039847921412,0.1986105853646204,0.03227213584303286,0.07957559681697612
SN_normal_q0,1,0.1,mean,100,inside,9,0,3,9,0,1.1838336324429621,0.186577135499441,0.03892049377477234,0.08340260459961209
SN_normal_q0,1,0.1,mean,100,outside,91,8,24,91,0,1.4520400070593786,0.19566293523699357,0.028529820673483187,0.07810144967252199
SN_normal_q0,1,0.1,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,1,0.1,all_inputs,20,outside,100,0,27,1,99,1.4455108543963413,0.19486256212895747,0.029464981252599207,4.158004158004158e-05
SN_normal_q0,1,0.1,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,1,0.1,all_inputs,100,outside,100,0,27,1,99,1.4455108543963413,0.19486256212895747,0.029464981252599207,4.987531172069826e-05
SN_normal_q0,1,0.2,mean,20,inside,22,4,5,22,0,1.4524393879819322,0.15459245795814153,0.010351941266727956,0.17643167643167643
SN_normal_q0,1,0.2,mean,20,outside,78,10,22,78,0,1.4400997103095203,0.2047940677563905,0.034855838684511614,0.1606961991577376
SN_normal_q0,1,0.2,mean,100,inside,17,0,5,17,0,1.1838336324429621,0.19029593492320818,0.02519286427646076,0.16150799471908464
SN_normal_q0,1,0.2,mean,100,outside,83,14,22,83,0,1.4604909086735465,0.1957847534437386,0.03033999316337456,0.16143376498512754
SN_normal_q0,1,0.2,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,1,0.2,all_inputs,20,outside,100,1,27,3,97,1.4455108543963413,0.19486256212895747,0.029464981252599207,0.0011434511434511435
SN_normal_q0,1,0.2,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,1,0.2,all_inputs,100,outside,100,1,27,3,97,1.4455108543963413,0.19486256212895747,0.029464981252599207,0.001371571072319202
SN_normal_q0,2,0.05,mean,20,inside,5,0,1,5,0,1.3960262847909695,0.10858333315098148,0.0013370593029683783,0.04282744282744283
SN_normal_q0,2,0.05,mean,20,outside,95,1,30,95,0,1.3849206698460135,0.18456868980298907,0.022309357477429945,0.03882262829631251
SN_normal_q0,2,0.05,mean,100,inside,7,0,3,7,0,1.1365383922402936,0.05551822568407698,0.0004903741106889994,0.04025650160313502
SN_normal_q0,2,0.05,mean,100,outside,93,1,28,93,0,1.3983525114024131,0.18761685696986632,0.022824103635439397,0.037513742525406915
SN_normal_q0,2,0.05,all_inputs,20,inside,0,0,0,0,0,,,,
