arm,seed,group,task,n,median_growth,mean_abs_v,mean_abs_z,free_rms
SN_normal_q0,0,final_shrink,0,28,1.0,0.09209702631986667,0.9325954694899597,0.6722860477981619
SN_normal_q0,0,final_shrink,1,28,0.9902982206997564,0.09553426053441529,0.5940012404628631,0.6648838583814108
SN_normal_q0,0,final_shrink,5,28,1.000245072831755,0.09205898173552539,0.5085182863154581,0.6497819678882422
SN_normal_q0,0,final_shrink,20,28,0.9727517964702063,0.09224635968816333,0.481429526881714,0.6422136082754112
SN_normal_q0,0,final_shrink,100,28,0.9055135803834342,0.08410664955902446,0.6583895034023693,0.6023174084691258
SN_normal_q0,0,final_shrink,500,28,0.7303384656063829,0.05588311515748501,0.5900261541828513,0.5293311226795105
SN_normal_q0,0,final_grow,0,72,1.0,0.08021757843440962,0.7950022126961913,0.7409249186482855
SN_normal_q0,0,final_grow,1,72,1.0114844202300275,0.16627469699273612,0.4428062415293728,0.8812945689483288
SN_normal_q0,0,final_grow,5,72,1.0532675488825727,0.18400543365310618,0.5850216905560551,1.0651368136816497
SN_normal_q0,0,final_grow,20,72,1.1420507418230978,0.21444451459036726,0.7250263267390741,1.179465331389189
SN_normal_q0,0,final_grow,100,72,1.3356119432125337,0.20140390049588555,0.813509157134427,1.412678401097484
SN_normal_q0,0,final_grow,500,72,1.6598030053315669,0.18445392036260777,0.6149712945075912,1.488142871304423
SN_normal_q0,1,final_shrink,0,27,1.0,0.08590997969386754,1.0385054498910904,0.6335416895346235
SN_normal_q0,1,final_shrink,1,27,0.9258141906643064,0.08112255880540167,0.4834522758093145,0.6006617416802176
SN_normal_q0,1,final_shrink,5,27,0.9008956120481565,0.05437267203901515,0.3171812982332927,0.5684472606082316
SN_normal_q0,1,final_shrink,20,27,0.8963464536611914,0.07296029975879248,0.543154134656544,0.5769919568381018
SN_normal_q0,1,final_shrink,100,27,0.8512884434508099,0.05482819782466524,0.6481261054674784,0.5674828674927169
SN_normal_q0,1,final_shrink,500,27,0.6386146652439122,0.039322160029162966,0.40402631109787357,0.4278100224199452
SN_normal_q0,1,final_grow,0,73,1.0,0.07535298251505457,0.6680987104741627,0.739906072218574
SN_normal_q0,1,final_grow,1,73,1.0255118100369705,0.19761843864138154,0.4151414496543473,0.9218743312254364
SN_normal_q0,1,final_grow,5,73,1.0604780628461095,0.21093935881141726,0.47003666305123537,1.0346373195439547
SN_normal_q0,1,final_grow,20,73,1.1946960711290275,0.2211518909615522,0.6605613483243609,1.238761547841326
SN_normal_q0,1,final_grow,100,73,1.4889933315772024,0.18090812159919065,0.8261188857244608,1.4400487030641336
SN_normal_q0,1,final_grow,500,73,1.6189976169251479,0.18811689961338032,0.7313235629069275,1.5012895053774908
SN_normal_q0,2,final_shrink,0,31,1.0,0.07049106654801196,0.6451786972221828,0.5779416314794386
SN_normal_q0,2,final_shrink,1,31,0.981290504461772,0.0687508775417002,0.49037896164302386,0.5659138688796774
SN_normal_q0,2,final_shrink,5,31,0.9773062781448579,0.05532386712354397,0.5509701198748043,0.5592328266118751
SN_normal_q0,2,final_shrink,20,31,0.9729612631550473,0.06833977971578978,0.6308347716206505,0.559068557508379
SN_normal_q0,2,final_shrink,100,31,0.9259764372743218,0.07113607115142288,0.4914237272234694,0.5432014937984524
SN_normal_q0,2,final_shrink,500,31,0.7808068272839457,0.04375190686269273,0.6003894875607183,0.47389542629494386
SN_normal_q0,2,final_grow,0,69,1.0,0.08844174350868317,0.6312032430500224,0.7418363819274278
SN_normal_q0,2,final_grow,1,69,1.036612835365217,0.1590808023651387,0.40213643697400886,0.8228340794262323
SN_normal_q0,2,final_grow,5,69,1.0856095033355495,0.19525881854655303,0.6312915200664513,0.986869174734253
SN_normal_q0,2,final_grow,20,69,1.165943715498218,0.1838091543700168,0.6601988160037908,1.1398824048991913
SN_normal_q0,2,final_grow,100,69,1.3819542580208368,0.18315622236147738,0.7136319765476915,1.457215839811534
SN_normal_q0,2,final_grow,500,69,1.6619025566317274,0.17323543985401266,0.8727517997225126,1.4941823008231951
SN_normal_q0,3,final_shrink,0,27,1.0,0.09247767531175029,0.8468138647300226,0.5982351144417398
SN_normal_q0,3,final_shrink,1,27,0.9437059451724267,0.06510988050312908,0.2993654477996407,0.5745735577892079
SN_normal_q0,3,final_shrink,5,27,0.981404748396734,0.09836774044756398,0.39191224143185,0.5970784428465875
SN_normal_q0,3,final_shrink,20,27,0.9688220572717667,0.0763542978093028,0.38936234569108047,0.5792194040063517
SN_normal_q0,3,final_shrink,100,27,0.9192414077479205,0.07787640260842939,0.7437101020305245,0.5467948224061147
SN_normal_q0,3,final_shrink,500,27,0.7323466136125795,0.059377315964041,0.6927538070176524,0.45508095325097064
SN_normal_q0,3,final_grow,0,73,1.0,0.08658661984851303,0.908699578057005,0.7365844113976603
SN_normal_q0,3,final_grow,1,73,1.0339720354496902,0.17411609317099497,0.46771709592247457,0.8467730238933467
SN_normal_q0,3,final_grow,5,73,1.0941674640580137,0.2008213168073905,0.6859369151962423,1.0303844132197268
SN_normal_q0,3,final_grow,20,73,1.2163241747588582,0.21441360177752905,0.6610907958437727,1.2433209571000439
SN_normal_q0,3,final_grow,100,73,1.442685786974012,0.16258204673506219,0.7961958201238503,1.410839961913193
SN_normal_q0,3,final_grow,500,73,1.658894457068512,0.16357766274101268,0.6884275004012536,1.4851917348432953
SN_normal_q0,4,final_shrink,0,18,1.0,0.08804325902989756,1.2352226889795728,0.5849552980887305
SN_normal_q0,4,final_shrink,1,18,0.9429570225262406,0.0719461531067888,0.5107482314730684,0.5616634751820696
SN_normal_q0,4,final_shrink,5,18,0.9474397629976872,0.06915325842176874,0.37066396905316246,0.5695419935054171
SN_normal_q0,4,final_shrink,20,18,0.9067412195448575,0.0436945406092693,0.6137435285167562,0.551707023089485
SN_normal_q0,4,final_shrink,100,18,0.846224003362781,0.05843854817147884,0.6026531004657348,0.5206612090415121
SN_normal_q0,4,final_shrink,500,18,0.7604799111788862,0.07979235010053445,0.5254941752387418,0.43604821058824333
SN_normal_q0,4,final_grow,0,82,1.0,0.0846355832671667,0.7591717877175387,0.7097419936248928
SN_normal_q0,4,final_grow,1,82,1.0138575930744724,0.18222768972173514,0.40577313682439214,0.859537362410869
SN_normal_q0,4,final_grow,5,82,1.098435646668178,0.24000028624744496,0.4899148182012141,0.9982744499052185
SN_normal_q0,4,final_grow,20,82,1.2302460739733287,0.1792359869563725,0.6860413175167107,1.1685465845336505
SN_normal_q0,4,final_grow,100,82,1.4693946812699932,0.16354432755445197,0.6682735846446055,1.3285097338839087
SN_normal_q0,4,final_grow,500,82,1.664969868795513,0.1857676997407419,0.8180188585935932,1.4799213007295213
SN_normal_q0,5,final_shrink,0,31,1.0,0.0861375322865863,0.7513945665090315,0.661570041713218
SN_normal_q0,5,final_shrink,1,31,0.9304025102869551,0.07118437052403967,0.26964509003465215,0.6138476426385973
