eta,tag,window,ts,te,n_alive,zbar_med,zbar_width,near_frac,deep_frac,h_u
0.000156,0156,W1_200_260,200,260,17.339344262295082,-2.940944194793701,6.735480117797851,0.254892691689515,0.5766285336106647,0.14219875180028804
0.000156,0156,W2_261_320,261,320,17.41166666666667,-2.857781410217285,6.943754386901853,0.2729013113812578,0.5529817172393988,0.13499319198599494
0.000156,0156,W3_321_380,321,380,16.508333333333333,-2.6258044242858887,7.421001672744753,0.2992428066633014,0.5206461383139829,0.12844225236333745
0.000156,0156,W4_381_440,381,440,16.766666666666666,-2.4473159313201904,7.460183310508729,0.3389662027833002,0.49433399602385686,0.12520226537216828
0.000156,0156,W5_441_500,441,500,15.889999999999999,-1.8607537746429443,7.47125611305237,0.39269981120201386,0.43182294944409483,0.1098055970946379
0.0002,02,W1_200_260,200,260,16.201639344262293,-2.743666172027588,7.152120018005371,0.2546797531114034,0.5397146615400182,0.1377042441681225
0.0002,02,W2_261_320,261,320,16.455000000000002,-2.682037830352783,7.051270818710329,0.2593943077078902,0.531145548465512,0.14294535350416795
0.0002,02,W3_321_380,321,380,15.5,-2.4990897178649902,7.461219930648804,0.31655913978494626,0.49989247311827956,0.14060619323777218
0.0002,02,W4_381_440,381,440,14.459999999999999,-2.127340316772461,7.60960590839386,0.36964038727524207,0.4568925772245274,0.13815326927583782
0.0002,02,W5_441_500,441,500,13.885000000000002,-1.409582257270813,7.453129291534424,0.42191813707838194,0.3933501380386508,0.12234432234432234
0.0005,05,W1_200_260,200,260,13.58688524590164,-2.453986644744873,6.718622922897339,0.29790057915057916,0.4920366795366795,0.16828042652285818
0.0005,05,W2_261_320,261,320,12.808333333333335,-2.3770296573638916,6.694806575775148,0.3130774235523748,0.4827586206896552,0.16157609414253604
0.0005,05,W3_321_380,321,380,11.763333333333334,-2.3077220916748047,6.985903644561767,0.33097194672711816,0.4708132615471805,0.1585014409221902
0.0005,05,W4_381_440,381,440,11.07,-2.1410627365112305,7.009884905815126,0.35049683830171635,0.45995182174043964,0.15625956535047444
0.0005,05,W5_441_500,441,500,9.328333333333331,-1.9205453395843506,7.022785615921021,0.3584062890834376,0.4237984634625692,0.16013783097569823
0.001,10,W1_200_260,200,260,8.470491803278689,-2.971665143966675,6.364577960968019,0.2260499322624347,0.5765434488097542,0.2471557473519027
0.001,10,W2_261_320,261,320,7.066666666666666,-3.2078964710235596,6.318615555763244,0.18160377358490565,0.6490566037735849,0.28286948176583493
0.001,10,W3_321_380,321,380,5.786666666666666,-3.055633068084717,6.308248329162598,0.20276497695852536,0.6154953917050692,0.2873900293255132
0.001,10,W4_381_440,381,440,4.989999999999999,-3.3686180114746094,5.692970430850992,0.1569806279225117,0.6700066800267201,0.30672554347826086
0.001,10,W5_441_500,441,500,3.61,-3.0979552268981934,6.220821559429169,0.21283471837488457,0.6223453370267775,0.29990627928772257
0.0025,25,W1_200_260,200,260,5.7,-3.4090280532836914,4.773414726555348,0.12366983031348865,0.7115329306873742,0.337806301050175
0.0025,25,W2_261_320,261,320,5.359999999999999,-3.468348979949951,5.475204825401306,0.14614427860696516,0.7002487562189055,0.34459886291850916
0.0025,25,W3_321_380,321,380,4.553333333333334,-3.372732162475586,5.630237400531771,0.17752562225475843,0.6797218155197657,0.3615269461077844
0.0025,25,W4_381_440,381,440,4.62,-3.3684732913970947,4.895885301381349,0.13383838383838384,0.6958874458874459,0.3554902680866691
0.0025,25,W5_441_500,441,500,4.573333333333334,-3.3780131340026855,4.597489499673249,0.1260932944606414,0.7059037900874635,0.3164745258460394
