period,arm,iv,seed,actual,pos,neg,l2,pre,positive_actual,positive_pos,positive_neg,positive_l2,positive_pre,negative_actual,negative_pos,negative_neg,negative_l2,negative_pre,localup_actualdown,localup_currentdown,within_ratio,between_ratio,star_delta20,star_W_delta20,bias_delta20,mean_delta20,within_delta20,star_delta625,star_W_delta625,bias_delta625,mean_delta625,within_delta625
early,SNA,none,1,-0.15060196470464168,-0.3212848436163032,0.17184741559769967,0.0,-0.0011645441267042222,-0.47369249951745884,-0.5938820882995903,0.12038116255778328,0.0,-0.00019161173465909176,-0.022462725168414934,-0.21118448932892908,0.19023531494115029,0.0,-0.0015135457240168602,0.4823437329766934,0.3578540048202414,1.479931885259873,1.2138787846812547,-0.058250405936225824,-0.0572649971770278,-0.0009854087591980047,-0.15060196470464166,0.1312856793263692,-0.04530717092151125,-0.04563921811197023,0.0003320471904589794,-0.06320994581470966,0.8674013178615209
early,SNA,none,2,-0.18837732763935694,-0.3468301654819979,0.16151050664630748,0.0,-0.003057686038613598,-0.5210619154735758,-0.617949290310867,0.09653175583380974,0.0,0.0003555687848440603,-0.04981349627166156,-0.22739043320710572,0.18256882448569076,0.0,-0.004991891221288893,0.49307599092779614,0.3560137849757379,1.500331961201093,1.3023961568579174,-0.07161280371540762,-0.07036432631163157,-0.0012484774037760584,-0.18837732763935697,0.14144959352786854,-0.03923843173965619,-0.0395829798448602,0.00034454810520401224,-0.07673220458417175,0.878911239656255
late,LR,l2,0,-0.25215978834360253,-0.2469251689027732,-0.008677060872406286,0.003616954918890496,-0.0001745369039847525,-0.4512266041550531,-0.45089730349929025,0.00025171363231426663,0.0003490823960477927,-0.0009301395167835222,-0.12696525105285075,-0.11852657285028922,-0.014449378986382697,0.005707542353191755,0.0003031471961611618,0.5868068237914794,0.33116199422427034,2.3151429613973193,1.5904948815142552,-0.08862289050334406,-0.0869377439666093,-0.0016851465367347517,-0.2521597883436025,0.14370001553999087,-0.0005816114537360586,-0.0003172007077218233,-0.00026441074601423576,-0.08887338398583455,0.7106329081512319
late,LR,l2,1,-0.21386543823870335,-0.215867357030029,-0.0006565709359123068,0.003305958641264187,-0.0006474923510137486,-0.37002689446226056,-0.36597279289355555,-0.0016816235647267312,-2.93820619673587e-05,-0.002343133539220681,-0.09824121110979223,-0.10450330464869324,-0.00014910064245788728,0.005800985052980152,0.0006101962512876721,0.569760328268099,0.3349099901929613,2.370748241145404,1.5051465655125118,-0.07225102692767522,-0.07069073511149039,-0.0015602918161848243,-0.21386543823870335,0.1402833466300098,0.0019741517027888618,0.0019319885178836328,4.216318490522859e-05,-0.026586888427472758,0.7262272522090051
late,LR,l2,2,-0.2486065191078245,-0.2540569266012862,0.0005621333018987148,0.003911877864800019,0.0009763731862639593,-0.4304127987896096,-0.4351820364318469,0.0025211813153391727,0.0002587140913012361,0.001989301994408828,-0.14403564731249952,-0.14952940820888944,-0.0009236875860175037,0.0059751146981024,0.00044232047682404515,0.5814690600271563,0.3336929398067867,2.299819395672941,1.5357300013303548,-0.08317720705221329,-0.08155611204756248,-0.0016210950046508146,-0.24860651910782455,0.14132333904869485,0.00029387585587544406,-0.0002714005036510944,0.0005652763595265384,-0.08831274966328945,0.7524947723195022
late,LR,none,0,0.011105917630966482,-0.23470615504529252,0.2443458560054447,0.0,0.001466212935876553,-0.553354205802342,-0.6310234108032714,0.07570685536700045,0.0,0.0019622988735246414,0.10373653582319045,-0.1692519726556761,0.27164778586358834,0.0,0.0013407266051862715,0.38572269534523995,0.3315514927907858,0.99982553255572,0.8407679136061263,-0.0019113613654686674,-0.0020035889177079922,9.222755223929551e-05,0.011105917630966513,-0.004020916464584613,-0.02211463819846909,-0.019283094896734514,-0.0028315433017345824,-0.06989111231907678,2.4137615824432865
late,LR,none,1,-0.008427281457682958,-0.2236778485796116,0.21524987541951515,0.0,6.842965658228138e-07,-0.5085694187670718,-0.5961947914032186,0.09026671707713478,0.0,-0.002641401334127817,0.0715663708297969,-0.16364890222417422,0.23482384070989984,0.0,0.00039143277849247566,0.37928651732909363,0.32747431664035914,1.0045909892616833,0.8991348152419844,-0.005952274584536971,-0.0056968707912961394,-0.0002554037932407616,-0.008427281457682982,0.02720493552764781,-0.02357642232122153,-0.020441118731644867,-0.0031353035895766595,-0.07877503809245577,2.2499488427203262
late,LR,none,2,0.04775184568330335,-0.23793247209619886,0.2875034237032502,0.0,-0.0018191044574621261,-0.5981735434237065,-0.7003191129443243,0.10449351990572163,0.0,-0.0023480021130196666,0.12493827393591134,-0.18227064566143852,0.3089380799487758,0.0,-0.001729152187889836,0.3642621807437047,0.32093703699252263,0.9933980590854432,0.7970808284095119,0.007535375337407504,0.007007693254084124,0.0005276820833234111,0.047751845683303144,-0.04398674608368697,-0.03956938081026344,-0.036619068011984376,-0.0029503127982790935,-0.04835772461677535,2.3539798312213978
late,SNA,l2,0,-0.19783687033234673,-0.251562862814761,0.05106392078164198,0.0021637964003488213,0.0004982576537091839,-0.3646747529736456,-0.4115489583109313,0.04430282424219184,0.00025770083852341317,0.0023136472484675823,-0.0817308969235104,-0.13961106679345553,0.05519850320684344,0.0034758489248596786,-0.0007941892451202255,0.5456915805930156,0.3296378615639437,2.0861765776592587,1.2364840107848472,-0.0611579973385858,-0.05984769926701819,-0.0013102980715676063,-0.1978368703323467,0.14508176357240882,0.0032739733435498694,0.0033300193538053167,-5.604601025544582e-05,-0.08826126854595612,0.6571225672143931
late,SNA,l2,1,-0.15970089573812596,-0.22719474051954835,0.06510012157416453,0.0020214285193017843,0.0003722815350140905,-0.3220083415433616,-0.3734886293053597,0.05172029873502283,0.00011807394158506786,-0.0003581138200493769,-0.042235706932020195,-0.12184857689542276,0.0755351532029622,0.0033668711926407623,0.0007108438612445691,0.5326354381969773,0.3234457343470304,2.1090390515915676,1.2096263370291396,-0.05070820007448172,-0.04979951457140989,-0.0009086855030718164,-0.15970089573812596,0.1417930041972864,0.0016642867474673893,0.001234839687108384,0.00042944706035900475,-0.06444391372619489,0.6625108245933466
late,SNA,l2,2,-0.16972530721083046,-0.2596999529353857,0.08469692100377803,0.0021853760321268513,0.003092334051321843,-0.3550158750069009,-0.4244949361440174,0.06642472704185999,0.00033881550664565486,0.002715486369307362,-0.044979368877261214,-0.14760927259566706,0.09573629989283161,0.0034241750958638527,0.0034694259096812773,0.5337159547227811,0.32296612209910786,2.055796285625637,1.202327277865147,-0.053029358346185405,-0.05210793703370614,-0.0009214213124792689,-0.16972530721083046,0.1456437220169036,0.00137857042741327,0.0013072564294314458,7.131399798182468e-05,-0.08472778538663515,0.6888183809618692
late,SNA,none,0,-0.1353040092168643,-0.3745830563419182,0.23735081704434827,0.0,0.0019282165013178919,-0.4814119158269076,-0.608855133607002,0.12611965165312436,0.0,0.0013235284410161978,0.021374774124128873,-0.2679731313633837,0.28713041232362,0.0,0.002217490440698289,0.46176237205476917,0.38716017256029805,1.036721904683945,0.8897505449450646,-0.049335459559647965,-0.04842875356227835,-0.0009067059973695944,-0.13530400921686433,0.09563774412893124,-0.012977991067054684,-0.013259928007010549,0.00028193693995586113,-0.01431985644619542,1.0271249983353852
late,SNA,none,1,-0.08443155514592192,-0.34291554882629866,0.2591428516948848,0.0,-0.0006588621983278152,-0.4304909277387747,-0.5800026353434786,0.15150928506357442,0.0,-0.001997603038153992,0.05692041599517048,-0.24608453970047428,0.3031803712638746,0.0,-0.0001754110944984615,0.4434427977290145,0.3843571824782695,1.0409437989690122,1.058214412653049,-0.030755716522168294,-0.03016423385152918,-0.0005914826706391882,-0.08443155514592192,0.13410634068162217,0.0032219822813877967,0.002717180162506655,0.0005048021188811522,0.00619760755808842,1.0221870829539368
late,SNA,none,2,-0.13655565425405916,-0.3746404157738229,0.23851344667661997,0.0,-0.000428695005490179,-0.5054980288938636,-0.6482623366114548,0.143302881436825,0.0,-0.0005386153860468699,0.010940022791500439,-0.2649861929558187,0.2762746434408085,0.0,-0.00034842467078411907,0.4599298816630732,0.3863076385275185,1.036701965826003,1.0285333880109375,-0.05242963692175111,-0.05148086429515219,-0.0009487726265988865,-0.13655565425405913,0.12623880853310146,-2.1317833925718184e-06,-4.401841732860097e-05,4.188663393602166e-05,0.018824967373977576,0.9963305922042762
