period,arm,iv,seed,actual,pos,neg,l2,pre,positive_actual,positive_pos,positive_neg,positive_l2,positive_pre,negative_actual,negative_pos,negative_neg,negative_l2,negative_pre,localup_actualdown,localup_currentdown,within_ratio,between_ratio,star_delta20,star_W_delta20,bias_delta20,mean_delta20,within_delta20,star_delta625,star_W_delta625,bias_delta625,mean_delta625,within_delta625
early,LR,l2,0,-0.27951850241891907,-0.28367264274357035,-0.0018454491699263851,0.00397965446140903,0.0020199040675970724,-0.5165451563737741,-0.5219192847615953,0.0027194358022584637,0.0007559003736879077,0.0018987372184859181,-0.13026387217253094,-0.13462669336169678,-0.0026106299600066325,0.0060303562705044085,0.000943079303832961,0.5725130714344057,0.3194559478803907,2.7558184043231897,1.721960654410761,-0.0979377391683681,-0.09607263386370173,-0.0018651053046663663,-0.2795185024189191,0.16273679064220103,-0.012969079579348362,-0.013878254442401358,0.0009091748630529956,-0.07865807352151417,0.742433308208707
early,LR,l2,1,-0.27029581117727175,-0.28253996148492116,0.00758011016025078,0.0037153430070319777,0.0009486655147822792,-0.5107284096871451,-0.5185914297915794,0.008473338561449769,0.0007909049864705256,-0.0014012831963102692,-0.12183886800293496,-0.1397590570999775,0.010061667443144094,0.005552571183462272,0.002305936861596709,0.5819872133755533,0.3159023201832373,2.781750069632126,1.7989036378893193,-0.09907028103319873,-0.09718333316621303,-0.001886947866985697,-0.27029581117727175,0.16487010037915117,-0.021108594746170727,-0.022098080284059837,0.0009894855378891072,-0.07669122076307461,0.7416549948012039
early,LR,l2,2,-0.2853406148819973,-0.29647532955599787,0.00599829177890493,0.003952892881071251,0.0011834995190850913,-0.4720365465293621,-0.480178301872279,0.005345385257374654,0.0005288582927788281,0.0022674590442955003,-0.17250996380348074,-0.1871796815373925,0.009047265844059918,0.0063840513353418,-0.0007616156734287078,0.587501897449241,0.3243531379963248,2.802319967212683,2.0144365644644306,-0.10481461614491575,-0.10293596096522405,-0.0018786551796916978,-0.2853406148819973,0.16830856156262194,-0.01665295212024051,-0.017953289889601234,0.0013003377693607229,-0.0777818453539664,0.7578825065158645
early,LR,none,0,-0.19492532236873902,-0.32072514931400226,0.12418208389498367,0.0,0.0016177261862367388,-0.6565937849836334,-0.6878269350022395,0.030588940196248693,0.0,0.0006441586488194506,-0.044751351925868384,-0.1903217411010352,0.1450455639977134,0.0,0.0005248201202181582,0.48400411532413695,0.33114625668971226,1.3045957832525596,0.9360490088926613,-0.06270461821114505,-0.061255221172591516,-0.001449397038553511,-0.19492532236873905,0.10384740688947319,-0.100309239558439,-0.10139226773438062,0.0010830281759416193,-0.23278846947333354,1.2721823778153736
early,LR,none,1,-0.16120958130940377,-0.33546051069698163,0.1761648705952001,0.0,-0.0019139551263935722,-0.7879439107938013,-0.8234959171326816,0.03593874642143541,0.0,-0.0003868085056640969,-0.0003853683477820546,-0.2016012985788317,0.20341561126616406,0.0,-0.002199680314700835,0.46390591398241837,0.3221008163211268,1.3215605396550785,0.884590806454325,-0.05795514542451872,-0.05668291221219035,-0.001272233212328406,-0.1612095813094037,0.10356833888679139,-0.10849141743941991,-0.1086744004597006,0.00018298302028070846,-0.21702719603348317,1.29133610459567
early,LR,none,2,-0.1581612118602794,-0.3250657891252334,0.16699751171883562,0.0,-9.2948152657498e-05,-0.7089896797796538,-0.7499510381261671,0.039211013835362914,0.0,0.0017502810655845233,-0.0005227170460862168,-0.19258691314340856,0.1934077688827502,0.0,-0.0013435719200027816,0.46117477987087585,0.31785788411975896,1.329532386817952,0.9846615575581656,-0.06373261801518472,-0.06253885706365145,-0.0011937609515332854,-0.1581612118602794,0.11384187109165983,-0.10266669273664357,-0.10233905018088905,-0.0003276425557544969,-0.19148068069702784,1.3283971109599377
early,SNA,l2,0,-0.2131773496550276,-0.2921146738437707,0.07365736097909846,0.002171362084222355,0.003108580464880534,-0.4017677783846805,-0.48194123930317023,0.07648195232106553,0.0003128587461482363,0.003378610280064703,-0.07640388291007631,-0.15422798672867613,0.07184438042955624,0.0035304778919370006,0.0024492386035487135,0.5325621155950359,0.31487149180634705,2.623258929417676,1.5370547241938883,-0.06827748483948863,-0.06694174786540742,-0.0013357369740812208,-0.2131773496550276,0.1544234794572866,-0.011470977307419401,-0.012550522118316238,0.0010795448108968375,-0.10292091600769976,0.6778247090261998
early,SNA,l2,1,-0.2189745345156634,-0.30076292536785926,0.07995107849773866,0.0022251975264004653,-0.00038790620236552986,-0.42022237648235694,-0.4981148475969977,0.07746009363660065,0.00047301847154661357,-4.068520050363464e-05,-0.0751750865784075,-0.15897942822687092,0.08085149826217958,0.003406370214311001,-0.00045353108968961545,0.5442286940363914,0.3120055096280802,2.6370726661818447,1.4459675908466902,-0.0787123562987049,-0.07733729506764847,-0.0013750612310564306,-0.2189745345156634,0.15131595080382745,-0.01457145213157176,-0.015605985706474765,0.001034533574903004,-0.0964468094523669,0.6655002371325626
early,SNA,l2,2,-0.20953153936188618,-0.27363289398571033,0.062099843328217115,0.0023511418572283622,-0.0003496537459318657,-0.402444116467756,-0.4690652242747703,0.06481288067179188,0.00043566513039485947,0.001372517994776816,-0.08456197665641829,-0.14558867085835434,0.059520381119725026,0.0036097800498246986,-0.0021034766923293054,0.5363719744768138,0.316871605581899,2.7261235751973683,1.693079468019806,-0.07888336302085569,-0.0777102742530969,-0.0011730887677587909,-0.20953153936188618,0.15995391783360793,-0.01249584244210061,-0.013802990395003207,0.0013071479529025965,-0.08590068180102506,0.6766016239463654
early,SNA,none,0,-0.17902640909951906,-0.3183626174151414,0.1367617941315741,0.0,0.002574402621903719,-0.4313876924962942,-0.5590673928002311,0.1230789087679404,0.0,0.004600753884851506,-0.05838966058277985,-0.19841795943502427,0.1389472208983208,0.0,0.001081078516350464,0.49233624179999663,0.35833891440327453,1.495354531017711,1.2376831626359541,-0.05835335854959859,-0.057297774525129914,-0.0010555840244686758,-0.17902640909951906,0.14576945013829665,-0.03784010755698247,-0.03865580428834846,0.0008156967313659965,-0.07996829193366928,0.8530836106340574
