period,arm,iv,seed,task,step,mean,star,star_W,bias,within,between,W_norm,b_norm
early,SNA,none,0,2,0,0.019679850906278988,0.028464017229204296,0.017338607032076223,0.011125410197128077,0.08401052533553006,0.1836087837009751,9.941554922650793,0.31897760640515666
early,SNA,none,0,2,20,-0.19087496202719198,-0.05093751233813932,-0.061200580149750425,0.010263067811611109,0.33727190295450427,0.3954970539499799,10.623159206152959,0.31918283799712954
early,SNA,none,0,2,625,-0.20792107947747532,-0.12841385179042064,-0.13876254801888663,0.010348696228465997,1.0539517475197844,0.6300842031333181,13.498718078727158,0.3789036189483263
early,SNA,none,0,3,0,-0.13762794044397134,-0.12841385179042064,-0.13876254801888663,0.010348696228465997,0.15842003451187875,0.40219547651375764,13.498718078727158,0.3789036189483263
early,SNA,none,0,3,20,-0.5501264515605844,-0.2743565725466624,-0.2819397799928129,0.007583207446150482,0.3425020532747117,0.5154505138239167,13.848841709070987,0.3930536076986999
early,SNA,none,0,3,625,-0.24223446731555498,-0.1925875654907432,-0.20353543780487968,0.010947872314136475,1.145413324724611,0.7845198933757642,15.829172877091056,0.45960692581879375
early,SNA,none,0,4,0,-0.15164718332030538,-0.1925875654907432,-0.20353543780487968,0.010947872314136475,0.24731441398545848,0.5792493931894988,15.829172877091056,0.45960692581879375
early,SNA,none,0,4,20,-0.7297801451476907,-0.4079997972563657,-0.4141837258126403,0.006183928556274623,0.4218661111117501,0.7218906501157175,16.02487958020281,0.46810753105676794
early,SNA,none,0,4,625,-0.46896152270962965,-0.33709440601853813,-0.3464070638808577,0.009312657862319612,1.1345923118527383,0.9245050571012672,17.44369984757086,0.5188192500759395
early,SNA,none,0,5,0,-0.349780017572974,-0.33709440601853813,-0.3464070638808577,0.009312657862319612,0.2582098832699931,0.590450588477427,17.44369984757086,0.5188192500759395
early,SNA,none,0,5,20,-0.655926208468215,-0.4499403632422226,-0.45726191529438515,0.007321552052162588,0.3938740217180422,0.6669424449618337,17.58795978113969,0.5261715247596187
early,SNA,none,0,5,625,-0.4319808564523636,-0.3991429499021341,-0.4091239258527366,0.009980975950602442,1.1228186550107162,0.6414077819485045,18.86466988011083,0.5787651104367179
