period,arm,iv,seed,task,index,bin,actual,pos,neg,l2,pre,positive_actual,positive_pos,positive_neg,positive_l2,positive_pre,negative_actual,negative_pos,negative_neg,negative_l2,negative_pre,localup_actualdown,localup_currentdown,within_ratio,between_ratio,star_delta20,star_W_delta20,bias_delta20,mean_delta20,within_delta20,star_delta625,star_W_delta625,bias_delta625,mean_delta625,within_delta625
early,SNA,none,0,2,1,first5,-0.210554812933471,-0.2675535422364166,0.05759853148330752,0.0,-0.0005998346146633677,-0.36429504634364834,-0.45045580244288363,0.07502702948581919,0.0,0.011133682977668292,-0.05184714610941335,-0.07874160712787105,0.039606908907539616,0.0,-0.012712468760012054,0.5275757914755566,0.28191072826938135,4.014638661137664,2.1540203359447423,-0.07940152956734362,-0.07853918718182665,-0.0008623423855169676,-0.21055481293347098,0.2532613776189742,-0.15687786901962494,-0.15610115505096284,-0.0007767139686620794,-0.2276009303837543,0.9699412221842543
early,SNA,none,0,3,2,first5,-0.41249851111661323,-0.4985108767444487,0.08138383616568007,0.0,0.004628485605268378,-0.6775934239610876,-0.833283095373406,0.14696668208281022,0.0,0.008722925333045839,-0.21982413095477757,-0.25519413774094,0.03371738323096995,0.0,0.0016525943360068515,0.5934770488756737,0.319736108530013,2.1619869881358347,1.281592021600683,-0.14594272075624176,-0.14317723197392626,-0.0027654887823155153,-0.41249851111661306,0.18408201876283298,-0.06417371370032257,-0.06477288978599305,0.0005991760856704775,-0.10460652687158364,0.9869932902127323
early,SNA,none,0,4,3,first5,-0.5781329618273854,-0.6744639822237368,0.10425011462411632,0.0,-0.007919143916067694,-0.9560173858977988,-1.1818966707101368,0.22355072090002256,0.0,0.0023284735411977114,-0.3153232169990251,-0.3215564610769268,0.021279343943720844,0.0,-0.015046121260179492,0.5873070920756026,0.3318016299635859,1.705788612614204,1.246251888397843,-0.2154122317656225,-0.21064828800776061,-0.004763943757861852,-0.5781329618273854,0.17455169712629162,-0.14450684052779492,-0.142871626075978,-0.0016352144518168629,-0.3173143393893243,0.8872778978672798
early,SNA,none,0,5,4,first5,-0.30614619089524114,-0.45121097349224193,0.1474774602827599,0.0,-0.0024127042341790255,-0.6373150093952226,-0.8272674601678273,0.18750943067896744,0.0,0.0024429641155283327,-0.14689320378409726,-0.27037233325772236,0.12822682281508635,0.0,-0.004747705737685549,0.539419451021661,0.35648513549066035,1.5254025784373018,1.1295482771583876,-0.11284595722368446,-0.11085485141352747,-0.001991105810157024,-0.30614619089524103,0.1356641384480491,-0.062048543883595986,-0.06271686197187892,0.00066831808828283,-0.08220083887938961,0.8646087717407231
early,SNA,none,0,6,5,first5,-0.11383196973951845,-0.3045871684521228,0.17375401575791663,0.0,0.017001186264416893,-0.24894024110567037,-0.4013739425705077,0.12651874120715922,0.0,0.02591493927648506,-0.04731549267386012,-0.25693712322685713,0.19700887665263356,0.0,0.012612769168994597,0.4949967869273846,0.35848710180850085,1.4787286286989059,1.3532912428815034,-0.02304895231617049,-0.022304510399702826,-0.0007444419164676225,-0.11383196973951848,0.14640738586722685,-0.05027335893524376,-0.05205706089430978,0.0017837019590660926,-0.14988755957588967,0.879718502353465
early,SNA,none,0,7,6,next5,-0.21482537231406057,-0.3152839798081726,0.11361877800266285,0.0,-0.013160196564146093,-0.522061393561393,-0.6372452887580239,0.13273240554356336,0.0,-0.01754855954763219,-0.09185534165756645,-0.18642020963229186,0.10596862241504965,0.0,-0.01140377123218058,0.5133609958506224,0.3703734439834025,1.3334230180229367,1.1516165383636248,-0.0859117518584947,-0.08422099738947625,-0.0016907544690184292,-0.21482537231406063,0.12862345839801614,-0.07182796959202281,-0.07217360409636059,0.0003456345043377964,-0.15327222800786455,0.9291350238935239
early,SNA,none,0,8,7,next5,-0.1328830829291937,-0.2055787938472748,0.0925452702037747,0.0,-0.019849558448841537,-0.3160240885590229,-0.3973233077973646,0.10199118183014072,0.0,-0.020691981553420707,-0.059005217077860286,-0.12823032985573163,0.0887348521623519,0.0,-0.01950973056105567,0.4668153434433541,0.37163247100802854,1.3533908701799733,1.1326980477193023,-0.05103959222422183,-0.05042169841977506,-0.0006178938044467952,-0.1328830829291937,0.14001216221077628,-0.027191219407059597,-0.028125476995001453,0.000934257587941828,-0.027616355322620967,0.808943625871725
early,SNA,none,0,9,8,next5,-0.03156885171831508,-0.19086274225779648,0.1562004306259124,0.0,0.0030934584771482106,-0.2521936492482633,-0.37770905784401915,0.12283374136938505,0.0,0.0026816356672770656,0.0582807380626607,-0.11476946083402552,0.16978903614810592,0.0,0.0032611735796373087,0.4233251919050942,0.3697662247034194,1.2331283073506936,1.0915699106729686,-0.0008025204315753598,-0.0014598998670088958,0.0006573794354335413,-0.03156885171831514,0.10002607940151437,-0.053070049621977256,-0.053107085757595374,3.7036135618109464e-05,-0.07020181450564522,0.7942931740696955
early,SNA,none,0,10,9,next5,-0.13439883368907585,-0.33876522905882134,0.19866215822241887,0.0,0.005704240324898347,-0.38722458623152933,-0.5386301233419182,0.14197905927770374,0.0,0.009426442864988283,-0.039800379189643645,-0.263982854566735,0.2198709690436506,0.0,0.004311523783622579,0.47252841151841407,0.3643510211056994,1.2687412060052319,1.1034363166488677,-0.025982858094151906,-0.025542170402126252,-0.0004406876920256767,-0.13439883368907568,0.1307059109677568,0.009176534551713078,0.0062740521145102646,0.0029024824372027077,-0.03287400244897587,0.8059739473186287
early,SNA,none,0,11,10,next5,-0.18101358477707008,-0.2985719746370314,0.11337631103646452,0.0,0.004182073309360292,-0.3629640549715724,-0.4528930375144039,0.09415682250909789,0.0,-0.004227862763129954,-0.10454896276745264,-0.23371860147219933,0.12145329442591263,0.0,0.0077163460277577195,0.48986722571628233,0.3635569531795947,1.2715382012954173,1.084079635192372,-0.04765003453075056,-0.04636527335104634,-0.001284761179704219,-0.18101358477706997,0.12759184233730536,-0.07788210692776298,-0.07787017619081693,-1.1930736945942044e-05,-0.23378933667555246,0.8655800416969968
early,SNA,none,0,12,11,last9,-0.007997377065151613,-0.12875172244660824,0.12451038838599554,0.0,-0.0037560463774184926,-0.1810478077783158,-0.2300061642886659,0.05936197768004774,0.0,-0.0104036434913374,0.05973109467600254,-0.08912276241048359,0.15000817117275186,0.0,-0.0011543100429802112,0.41010440629976996,0.3609980534418687,1.2867921174494061,1.0404122499661246,0.005122615710395184,0.004663295073230489,0.0004593206371646362,-0.00799737706515169,0.13732555452168804,0.018980423458066276,0.017990080670366337,0.0009903427876997717,0.051660224955230594,0.8257885171611077
early,SNA,none,0,13,12,last9,-0.003975382681911931,-0.21976185356407488,0.21697624400859927,0.0,-0.0011897735366658074,-0.3330761998797627,-0.5173820382369206,0.18418134554547486,0.0,0.0001244516824926088,0.10414225001592635,-0.12198637526565254,0.22775016677363258,0.0,-0.001621528525112959,0.4411272788091654,0.3549924736578023,1.2147795904038392,1.1350346500724684,-0.0025334265620569063,-0.0028763001379210618,0.00034287357586436015,-0.003975382681911888,0.11872447068434588,0.02719170778576807,0.025247976767658997,0.0019437310181092474,0.07686627523622858,0.7917977222530574
early,SNA,none,0,14,13,last9,-0.15204879098230217,-0.4059992007812971,0.23433845606910345,0.0,0.019611949133776382,-0.5372873903056352,-0.7372601266302408,0.18676096276853646,0.0,0.013211725484688252,0.012777205749768117,-0.26426778451785543,0.254694691838452,0.0,0.022350312434136405,0.48839581739352206,0.35960214231063503,1.2606117559381051,1.3016385946852507,-0.039644115831861004,-0.03870245382578086,-0.0009416620060801496,-0.15204879098230217,0.1414771034401684,0.02147572081842397,0.018942163456384442,0.002533557362039574,-0.026229518521785566,0.7988859575132163
early,SNA,none,0,15,14,last9,-0.10819156076819711,-0.30322426610620234,0.18941387743431584,0.0,0.005618824570496879,-0.4905177328208982,-0.5783130945731229,0.06984114978440684,0.0,0.017954156951309013,0.044906228040652495,-0.1930683457354224,0.23729529791557039,0.0,0.0006792932232570105,0.47043419496536576,0.37007940530495015,1.2867252089058208,1.1309736577864002,-0.03524350537427012,-0.035118390265011845,-0.0001251151092583301,-0.10819156076819703,0.17094844480055793,0.04534705474941547,0.043929687699762465,0.0014173670496529685,0.026560279617560467,0.801226464115391
early,SNA,none,0,16,15,last9,-0.2402003487190063,-0.39931846610310556,0.15234715005022126,0.0,0.006770955929720346,-0.5646511631334874,-0.7023889820344792,0.13388495336842068,0.0,0.0038528264166964037,-0.1002039996022595,-0.2685474405105512,0.16031335021770043,0.0,0.008030091243682896,0.5008062462870236,0.3696851396079097,1.1936231500650942,1.1701393731695393,-0.0830390401830503,-0.08123712723119969,-0.0018019129518506843,-0.24020034871900642,0.124872642673445,-0.06149883464522099,-0.062181580191512764,0.0006827455462916979,-0.12682679121699325,0.8406585498134745
early,SNA,none,0,17,16,last9,-0.15918819359675823,-0.2596082103712267,0.08992765106313434,0.0,0.010492379658673305,-0.2894748243721069,-0.41177374888090323,0.10493030692110536,0.0,0.017368613344165736,-0.10379661094178197,-0.19491477288314568,0.08354924640982894,0.0,0.0075689372127508234,0.5149949169772958,0.3946119959335818,1.2287032745388426,1.4016630613895213,-0.03704720573880649,-0.03614576551803794,-0.000901440220768563,-0.15918819359675807,0.14423773509527393,-0.00837288557605409,-0.00816061621585451,-0.0002122693601995726,-0.054012770904034446,0.8639553990370223
early,SNA,none,0,18,17,last9,-0.09561727927776378,-0.1997899991856519,0.08909635011819399,0.0,0.015076359934720665,-0.26926504022260805,-0.34885715895531144,0.06650357110298846,0.0,0.01308853553618907,-0.0246705435273475,-0.13888608464221983,0.09832701289171783,0.0,0.015888519282779557,0.4817712811693895,0.39759243336199485,1.2475354831941574,1.3071248602468317,-0.022259932176193598,-0.02188021179851596,-0.0003797203776775837,-0.09561727927776387,0.1620477874787779,-0.006804579065341487,-0.007720957838158959,0.0009163787728175554,0.011877945568553372,0.8245137328039479
