arm,iv,seed,task,step,mean,star,star_W,bias,within,between,W_norm,b_norm
SNA,none,0,1,0,-0.02188783815697956,-0.00889591056657497,-0.011144976157015265,0.002249065590440296,0.02296329907789368,0.014775860059294477,5.761751502410794,0.21099727272156749
SNA,none,0,1,20,0.15253195820441498,0.06340925649542084,0.05854362467746438,0.004865631817956455,0.10535068412797166,0.050631817866178305,6.0604575283907485,0.22326955072753407
SNA,none,0,1,625,0.18903331029976453,0.028464017229204296,0.017338607032076223,0.011125410197128077,0.6242446994701525,0.26691035367105176,9.941554922650793,0.31897760640515666
SNA,none,1,1,0,0.017754172577613234,0.011345888426706972,0.0113137702461731,3.2118180533871055e-05,0.02162780648300304,0.01492543444079601,5.771587575153422,0.2108537347018121
SNA,none,1,1,20,0.18809386172683468,0.08827327582534178,0.0862182171469625,0.0020550586783792822,0.09553504768522225,0.06348222823776091,6.051600247775943,0.22064212648127293
SNA,none,1,1,625,0.287544706884824,0.05328372986140776,0.04490229908578213,0.008381430775625632,0.620061922991853,0.2215501047707491,9.886018044306413,0.31242988545538236
SNA,none,2,1,0,-0.001884728303595166,-0.0015583640777687324,0.0010320910757808232,-0.0025904551535495556,0.02280599482060863,0.01802265320357281,5.7693645439526104,0.1979369661444384
SNA,none,2,1,20,0.18225830260806586,0.07428039372745152,0.07438060874286057,-0.00010021501540904865,0.09207846790789893,0.055489354665142335,6.04580110489155,0.2038584643662977
SNA,none,2,1,625,0.21851996959321274,0.024843134358669534,0.018199742234281634,0.006643392124387902,0.6165554213654678,0.21081320347513313,9.98657311840222,0.29136766648939516
SNA,l2,0,1,0,-0.02188783815697956,-0.00889591056657497,-0.011144976157015265,0.002249065590440296,0.02296329907789368,0.014775860059294477,5.761751502410794,0.21099727272156749
SNA,l2,0,1,20,0.15366975262474036,0.0655165779151059,0.060648273303805775,0.0048683046113001185,0.10433463437473753,0.05003701636854812,4.946236765464754,0.222326080815859
SNA,l2,0,1,625,0.21811622566191502,0.06637168026448043,0.05462870442460108,0.011742975839879363,0.5281242044840653,0.2230089286675756,7.137854041792721,0.31344088334966086
SNA,l2,1,1,0,0.017754172577613234,0.011345888426706972,0.0113137702461731,3.2118180533871055e-05,0.02162780648300304,0.01492543444079601,5.771587575153422,0.2108537347018121
SNA,l2,1,1,20,0.18870780536570056,0.0876308905949741,0.08556514742196718,0.002065743173006922,0.09464093265711396,0.06312278157135295,4.9408200706865015,0.21980005507288333
SNA,l2,1,1,625,0.31703840686948204,0.09758001315073826,0.08816415321228462,0.00941585993845365,0.5231603615462785,0.18923602845864174,7.088499311837595,0.30204382269022767
SNA,l2,2,1,0,-0.001884728303595166,-0.0015583640777687324,0.0010320910757808232,-0.0025904551535495556,0.02280599482060863,0.01802265320357281,5.7693645439526104,0.1979369661444384
