period,arm,iv,seed,bin,actual,pos,neg,l2,pre,positive_actual,positive_pos,positive_neg,positive_l2,positive_pre,negative_actual,negative_pos,negative_neg,negative_l2,negative_pre,localup_actualdown,localup_currentdown,within_ratio,between_ratio,star_delta20,star_W_delta20,bias_delta20,mean_delta20,within_delta20,star_delta625,star_W_delta625,bias_delta625,mean_delta625,within_delta625
early,LR,l2,0,first5,-0.3510147593868565,-0.369239854171629,0.013511951344104697,0.0038639258094113884,0.0008491710456937452,-0.526334431119741,-0.5437148794643296,0.010501563171640211,0.0015033321883842125,0.005375486560212703,-0.15313574672796884,-0.17375694510139197,0.01948943784117178,0.006640803430735608,-0.005509067368730152,0.6166187628428851,0.28248031400577445,4.126523504158539,2.600125358431531,-0.1277449116016502,-0.12525824402563704,-0.0024866675760131336,-0.35101475938685656,0.22492621159346285,-0.04549392444037564,-0.047549878350251464,0.0020559539098758245,-0.05346680381247643,0.8324713355871138
early,LR,l2,0,last9,-0.23481500311209538,-0.23193034769339585,-0.010434037742667011,0.003909636553002806,0.003639723523032108,-0.48041179750054613,-0.47907873689708513,-0.0034560838632042828,0.0003541804811150614,0.0017687952857335391,-0.11392347999013329,-0.11043121038184699,-0.013689762026275188,0.005665861920642019,0.004531620640256034,0.5510920532760958,0.33281602312795305,2.2684465374549228,1.4115920520954515,-0.07998496976436226,-0.07858017771458059,-0.0014047920497816653,-0.23481500311209538,0.14112714542608829,0.004191313472088361,0.003964466831055303,0.00022684664103306043,-0.08503006843227053,0.7008868186071685
early,LR,l2,0,next5,-0.2884885442032643,-0.2912415624058257,-0.0017433902530243407,0.004221415348537874,0.000274962069717335,-0.5717959275996173,-0.5772366762149794,0.006053243830709659,0.0007315643656227265,-0.0013441166442865848,-0.13680470354540877,-0.13904831098573125,-0.004768260041901648,0.0060759989400255105,0.0009358515708345425,0.5669652127108838,0.3323834463093947,2.2623826648507213,1.4024594345575487,-0.10044555166229649,-0.09837344477018442,-0.0020721068921120606,-0.28848854420326436,0.1394447310799422,-0.01133294221090719,-0.012323528826773242,0.0009905866158660501,-0.09237975239119048,0.7271789621130693
early,LR,l2,1,first5,-0.3109861215161613,-0.3384553806077392,0.028838484119708886,0.003261398411832398,-0.0046306669734673895,-0.47678996666134843,-0.4918967505182006,0.020002059234371733,0.0013138018887400439,-0.006209142412069654,-0.12129764478419416,-0.16889277049092172,0.04507858441735561,0.005562993200250077,-0.00304646984732384,0.6323528710547667,0.2883113501685436,3.7108971082767512,2.5740257453884046,-0.12391501488850679,-0.12144547334164724,-0.002469541546859546,-0.3109861215161613,0.21901194170464366,-0.06233730450620535,-0.06359664262940534,0.0012593381231999954,-0.05641347586831904,0.7943512871810834
early,LR,l2,1,last9,-0.2723596089661603,-0.2827598622924131,0.003032238249970939,0.0038307073038087846,0.0035372824944875964,-0.5517362936632942,-0.5562952093099001,0.005973253389517246,0.0005224244286942739,-0.0019368189892861366,-0.13907344091991156,-0.1522857715134611,0.0013601755430972633,0.005436482733175239,0.0064156621698547205,0.5573442378006801,0.329084403959805,2.420542518059962,1.4142697053906685,-0.09578402917761655,-0.09401034982079337,-0.0017736793568231708,-0.2723596089661603,0.14351565406186137,-0.01099259349242608,-0.011269081147765503,0.0002764876553394259,-0.10649856265593001,0.7210002448091836
early,LR,l2,1,next5,-0.2258906648183827,-0.22622872090861756,-0.005492094360703607,0.003961631868033303,0.0018684874395623777,-0.470852661555873,-0.47741930593198073,0.0014447711980063484,0.0007512730881982603,0.004370540446805677,-0.09135785997111792,-0.08807725776476276,-0.009292564110983134,0.005751108377191126,0.00026083801565283775,0.5759789117311116,0.319765539400109,2.502776623817397,1.7161226088878057,-0.08014080051793859,-0.07863256301253418,-0.0015082375054043951,-0.2258906648183827,0.14916626242478034,0.0019113127571235191,-9.171638404412708e-05,0.0020030291411676448,-0.04331575025069047,0.7261372524069609
early,LR,l2,2,first5,-0.2472600712454626,-0.27594325238731987,0.023005190211151112,0.003442106663815362,0.002235844592412408,-0.3250001412691427,-0.3466654482053726,0.013025898142902465,0.000699127297918344,0.007940228739448574,-0.15122579232379332,-0.19169854359839086,0.03910747283784643,0.007343377975845411,-0.005978122665782014,0.6129534034246585,0.29499193119981265,4.1122089673744915,3.798895195089557,-0.09643838858057377,-0.09472746619166088,-0.0017109223889128773,-0.2472600712454626,0.23295807348878744,-0.047419178345060306,-0.04906407478439514,0.001644896439334843,-0.0331793575919935,0.8238212187726373
early,LR,l2,2,last9,-0.2672219124010107,-0.27694400191387925,0.004572734934208422,0.004162472556960863,0.0009868575401531913,-0.48423006156844184,-0.48452479552790084,0.0016410578387287935,0.00044472126216335117,-0.0017910923658660757,-0.15772225061188394,-0.17226161219008296,0.006144838418230541,0.006041184564012706,0.0023533256638940524,0.5665892250589857,0.3365476909993125,2.2968752375241435,1.3466107486589471,-0.09458785145731197,-0.09299789150143746,-0.0015899599558744956,-0.2672219124010107,0.14149417113851837,-0.0020056530915746637,-0.002945483707270798,0.0009398306156961351,-0.09611398747832355,0.7317538945055078
early,LR,l2,2,next5,-0.3560348229843079,-0.35216379648048945,-0.008442604332887535,0.004086435681725837,0.00048511000783519486,-0.5971246247192379,-0.605867466959066,0.004332661725409391,0.0005100359427471707,0.003900081887433263,-0.22041201902804244,-0.20951334430155127,-0.01578857178323372,0.006041884883230561,-0.0011520030882563683,0.5996932017762829,0.33176414938745924,2.402231480490246,1.4320644022891742,-0.13159902014694452,-0.1290329807736031,-0.0025660393733414827,-0.3560348229843079,0.15192495239984288,-0.012251864147019249,-0.013856556123002111,0.0016046919759828602,-0.08938647729209644,0.7389752958777338
early,LR,none,0,first5,-0.5764416678459872,-0.5896346374952428,0.014520405128646722,0.0,-0.0013274975905828753,-1.0840409056690106,-1.0948243160800235,0.004573713746446948,0.0,0.006209593110262299,-0.2697618233944975,-0.28610150738865936,0.02426895234038748,0.0,-0.007929304552013081,0.6171236326724354,0.30795950165561,1.9436839361026361,1.0589807360808012,-0.22044945293096094,-0.21597510518475754,-0.004474347746203421,-0.576441667845987,0.199829643402448,-0.21555815015677116,-0.2168108702535018,0.0012527200967306271,-0.40240664096784895,1.2966857644587058
early,LR,none,0,last9,0.019963482169040907,-0.20400495165789123,0.2191547091527281,0.0,0.0048137315033572655,-0.4371477075044907,-0.4880633515145114,0.05105747314712352,0.0,-0.0001418543420759881,0.11374625420469171,-0.1447640125881192,0.25261254360212476,0.0,0.005897736627429826,0.40672039189221243,0.33537775925174035,1.0502416865336888,0.8887959767854405,0.022265256027352038,0.022102729731598894,0.00016252629575319588,0.019963482169040796,0.057931512647794454,-0.041465530039713414,-0.0419658976571291,0.000500367617415678,-0.15139387187412623,1.2979910821478642
early,LR,none,0,next5,-0.2002088250594948,-0.2619120169137615,0.06289303719738064,0.0,-0.001189859607760595,-0.624149603760713,-0.640404004202366,0.01976080733447575,0.0,-0.003506452429011607,-0.10503657149224743,-0.17654588613665978,0.0722016123670989,0.0,-0.0006923049205316039,0.4899953001533026,0.34671630711216384,1.1233450044964506,0.8981727394975186,-0.05790555712062388,-0.056579648787968215,-0.0013259083326556723,-0.2002088250594948,0.0905137800115201,-0.09097900609381286,-0.09294113135431217,0.0019621252604993056,-0.2096805736573913,1.201223323373558
