arm,iv,seed,actual,pos,neg,l2,pre,positive_actual,positive_pos,positive_neg,positive_l2,positive_pre,negative_actual,negative_pos,negative_neg,negative_l2,negative_pre,localup_actualdown,localup_currentdown,within_ratio,between_ratio,star_delta20,star_W_delta20,bias_delta20,mean_delta20,within_delta20,star_delta625,star_W_delta625,bias_delta625,mean_delta625,within_delta625
LR,l2,0,-0.027358714075316537,-0.03674747384079716,0.006831611702479901,0.00036269954251853375,0.0021944409715818247,-0.06531855221872096,-0.07102198126230508,0.002467722169944197,0.00040681797764011493,0.00282887673526944,-0.003298621119680184,-0.01610012051140755,0.011838749026376064,0.0003228139173126537,0.0006399321076717992,-0.014293752357073752,-0.011706046343879617,0.44067544292587035,0.13146577289650585,-0.009314848665024036,-0.009134889897092421,-0.0001799587679316146,-0.027358714075316648,0.019036775102210163,-0.012387468125612304,-0.013561053734679534,0.0011735856090672313,0.010215310464320379,0.03180040005747509
LR,l2,1,-0.056430372938568396,-0.06667260445489218,0.008236681096163087,0.00040938436576779067,0.0015961578657960277,-0.1407015152248845,-0.1526186368980238,0.0101549621261765,0.0008202870484378843,0.0009418503429104118,-0.023597656893142735,-0.03525575245128425,0.01021076808560198,-0.00024841386951787985,0.001695740610309037,0.012226885107454288,-0.01900767000972403,0.41100182848672207,0.2937570723768075,-0.026819254105523507,-0.026492598054722635,-0.00032665605080087266,-0.056430372938568396,0.024586753749141377,-0.02308274644895959,-0.02403006880194347,0.0009473223529838786,-0.05010433233560185,0.015427742592198812
LR,l2,2,-0.036734095774172804,-0.042418402954711665,0.005436158477006216,4.1015016271231906e-05,0.00020712633282113195,-0.041623747739752526,-0.044996265440432115,0.0028242039420354813,0.000270144201477592,0.0002781570498866723,-0.028474316490981227,-0.03765027332850307,0.009970953430077421,0.0004089366372394005,-0.001203936150252753,0.006032837422084714,-0.0093398018104619,0.5025005715397421,0.4787065631340759,-0.021637409092702453,-0.021379848917661565,-0.00025756017504088326,-0.03673409577417275,0.0269852225139271,-0.016946827976115953,-0.01768188938595014,0.0007350614098341845,0.010530904309323047,0.005387734196362293
LR,none,0,-0.20603123999970552,-0.08601899426870974,-0.12016377211046103,0.0,0.00015151325036018575,-0.10323957918129145,-0.05680352419896806,-0.045117915170751755,0.0,-0.0013181402247051908,-0.14848788774905883,-0.0210697684453591,-0.12660222186587494,0.0,-0.0008159064849681133,0.098281419978897,-0.00040523610107351393,0.3047702506968396,0.09528109528653494,-0.06079325684567638,-0.05925163225488352,-0.0015416245907928065,-0.20603123999970557,0.1078683233540578,-0.0781946013599699,-0.0821091728376461,0.003914571477676202,-0.16289735715425674,-1.141579204627913
LR,none,1,-0.15278229985172082,-0.11178266211737004,-0.03908500482431504,0.0,-0.001914639422959395,-0.2793744920267295,-0.22730112572946293,-0.05432797065569937,0.0,0.00225459282846372,-0.07195173917757895,-0.03795239635465747,-0.03140822944373578,0.0,-0.0025911130931933106,0.08461939665332474,-0.005373500319232338,0.31696955039339514,-0.01454400878765938,-0.052002870839981744,-0.05098604142089421,-0.0010168294190876443,-0.1527822998517207,0.07636340335914357,-0.08491499511819837,-0.08823328172805574,0.003318286609857368,-0.1382521579410274,-0.9586127381246563
LR,none,2,-0.20591305754358274,-0.08713331702903451,-0.1205059119844146,0.0,0.0017261563048046281,-0.11081613635594723,-0.049631925181842895,-0.06528250607035871,0.0,0.00409828317860419,-0.12546099098199756,-0.010316267481970037,-0.11553031106602563,0.0,0.0003855802678870543,0.09691259912717115,-0.0030791528727636686,0.33613432773250884,0.18758072914865376,-0.07126799335259222,-0.06954655031773557,-0.0017214430348566965,-0.20591305754358255,0.1578286171753468,-0.06309731192638013,-0.06571998216890468,0.0026226702425245964,-0.1431229560802525,-1.02558272026146
SNA,l2,0,-0.015340479322680872,-0.04055181102900973,0.02259344019745648,7.565683873533499e-06,0.00261032281117135,-0.037093025411034874,-0.07039228099223893,0.03217912807887369,5.515790762482313e-05,0.0010649630315971207,0.005327014013434092,-0.014616919935220601,0.016645877222712796,5.462896707732201e-05,0.003243427848668939,-0.013129464997979734,-0.014766369757596653,0.5370823517584173,0.3005707134090412,-0.007119487500902834,-0.007094048598389233,-2.543890251361443e-05,-0.0153404793226809,0.009341715884877783,-0.014744950650969271,-0.015880541472121555,0.0011355908211522832,-0.014659647461743641,0.02070214181180674
SNA,l2,1,-0.05927363877753744,-0.0735681848483109,0.014850956923574132,0.00020376900709868093,-0.0007601877373796203,-0.09821403493899533,-0.124626218291638,0.025739794901577823,0.0003549445299615457,0.00031742861954574226,-0.03293937964638731,-0.03713085133144815,0.005316345059217381,3.949902167023865e-05,-0.0011643749509341846,0.011593255839414063,-0.011440224718950176,0.5280336145902771,0.23634125381755067,-0.028004156224223184,-0.027537780496238583,-0.0004663757279846142,-0.05927363877753744,0.009522946606541044,-0.01623573887903915,-0.01684082539358315,0.0006050865145439991,-0.032002895726172015,0.0029894125392159188
SNA,l2,2,-0.03980623215105572,-0.01393294105032461,-0.022597077675560913,0.000165765825101511,-0.003441987797253709,-0.047428241460855114,-0.04457028813075292,-0.0016118463700681152,9.684962374920461e-05,-0.001342968374530546,-0.03958260777915708,0.0020206017373127216,-0.036215918773106585,0.00018560495396084589,-0.005572902602010583,0.0026560197540327346,-0.006094516517208881,0.6703272895717314,0.490752190154659,-0.025854004674670285,-0.02560233721939076,-0.000251667455279522,-0.03980623215105572,0.01431019581670434,-0.01387441286951388,-0.015110246824434653,0.0012358339549207718,-0.001172896414389904,-0.012216757015503843
SNA,none,0,-0.04372239988265475,0.056220438926776806,-0.10058902291277416,0.0,0.0006461861205858271,0.050024223330613404,0.04978774080677095,-0.003040742885183953,0.0,0.0032772254438353087,-0.07976443470690872,0.06955517192835942,-0.14818319142529923,0.0,-0.001136411924347825,0.030573869745227467,-0.02882125815702352,0.4586326263337659,0.34793261769088957,-0.009017898989950625,-0.008869020962851568,-0.0001488780270990814,-0.04372239988265472,0.05013170600936541,-0.02486211648992779,-0.02539587628133791,0.0005337597914101353,-0.06564843548747386,-0.17404138770132782
SNA,none,1,-0.06617040955871976,0.021630705209995438,-0.08729543609718515,0.0,-0.000505681928376407,-0.04320157177868417,-0.013879452956111704,-0.03112812250579114,0.0,0.0018059913034949,-0.07938314116358541,0.0349000503715452,-0.11294505632272431,0.0,-0.0013381346295183987,0.0389009352476789,-0.02650317765802812,0.43898808629086083,0.1556643720282056,-0.02749468941405753,-0.02710076332549862,-0.0003939260885588165,-0.06617040955871974,-0.002820661355252968,-0.04852915320289905,-0.04835639827447688,-0.00017275492842217275,-0.06940755337279808,-0.15478576509241593
SNA,none,2,-0.05182167338529778,0.02781025029182499,-0.0770029400303125,0.0,-0.002628991033123419,-0.015563886579712194,0.030313046300587843,-0.04677112560301527,0.0,0.0008941841708909302,-0.060753519063161995,0.03759575974871299,-0.09370581895511773,0.0,-0.0046434665505047735,0.033146109264722945,-0.030293853551780603,0.46362999537509,0.2738627688469799,-0.019183166793656517,-0.018883462016479384,-0.00029970477717717193,-0.051821673385297834,0.01521078499476708,-0.03923629995626362,-0.0395389614275316,0.0003026614712679906,-0.09555717195814933,-0.11741935254802127
