tag,eta,kp_kick_group,next_bucket,count,frac,mean_zbar_pre,n_g
0156,0.000156,kp0,kp0,323600,0.9988733350824934,-5.825279235839844,323965
0156,0.000156,kp0,kp1,346,0.0010680166067322087,-5.825279235839844,323965
0156,0.000156,kp0,kp2,17,5.247480437701604e-05,-5.825279235839844,323965
0156,0.000156,kp0,kp3+,2,6.173506397296004e-06,-5.825279235839844,323965
0156,0.000156,kp1,kp0,7535,0.22267206477732793,-4.237975120544434,33839
0156,0.000156,kp1,kp1,23783,0.7028280977570259,-4.237975120544434,33839
0156,0.000156,kp1,kp2,1950,0.05762581636573185,-4.237975120544434,33839
0156,0.000156,kp1,kp3+,571,0.0168740210999143,-4.237975120544434,33839
0156,0.000156,kp2,kp0,318,0.043066088840736726,-3.505685329437256,7384
0156,0.000156,kp2,kp1,1644,0.2226435536294691,-3.505685329437256,7384
0156,0.000156,kp2,kp2,4475,0.6060400866738895,-3.505685329437256,7384
0156,0.000156,kp2,kp3+,947,0.12825027085590465,-3.505685329437256,7384
0156,0.000156,kp3-5,kp0,47,0.006287625418060201,-2.8244612216949463,7475
0156,0.000156,kp3-5,kp1,520,0.06956521739130435,-2.8244612216949463,7475
0156,0.000156,kp3-5,kp2,986,0.13190635451505017,-2.8244612216949463,7475
0156,0.000156,kp3-5,kp3+,5922,0.7922408026755853,-2.8244612216949463,7475
0156,0.000156,kp6+,kp0,0,0.0,0.8529676795005798,27337
0156,0.000156,kp6+,kp1,46,0.0016827011010718074,0.8529676795005798,27337
0156,0.000156,kp6+,kp2,122,0.004462815963712185,0.8529676795005798,27337
0156,0.000156,kp6+,kp3+,27169,0.993854482935216,0.8529676795005798,27337
02,0.0002,kp0,kp0,327428,0.9989169664076538,-5.83414888381958,327783
02,0.0002,kp0,kp1,313,0.0009549000405756247,-5.83414888381958,327783
02,0.0002,kp0,kp2,40,0.00012203195406717248,-5.83414888381958,327783
02,0.0002,kp0,kp3+,2,6.101597703358624e-06,-5.83414888381958,327783
02,0.0002,kp1,kp0,8318,0.26249684423125474,-4.2265238761901855,31688
02,0.0002,kp1,kp1,20583,0.6495518808381722,-4.2265238761901855,31688
02,0.0002,kp1,kp2,2075,0.0654822014642767,-4.2265238761901855,31688
02,0.0002,kp1,kp3+,712,0.02246907346629639,-4.2265238761901855,31688
02,0.0002,kp2,kp0,442,0.06313383802313956,-3.5127010345458984,7001
02,0.0002,kp2,kp1,1648,0.23539494357948865,-3.5127010345458984,7001
02,0.0002,kp2,kp2,3939,0.5626339094415084,-3.5127010345458984,7001
02,0.0002,kp2,kp3+,972,0.13883730895586344,-3.5127010345458984,7001
02,0.0002,kp3-5,kp0,95,0.013557870700727843,-2.7690346240997314,7007
02,0.0002,kp3-5,kp1,620,0.08848294562580276,-2.7690346240997314,7007
02,0.0002,kp3-5,kp2,929,0.13258170401027544,-2.7690346240997314,7007
02,0.0002,kp3-5,kp3+,5363,0.7653774796631939,-2.7690346240997314,7007
02,0.0002,kp6+,kp0,7,0.00026394178198408806,0.8808803558349609,26521
02,0.0002,kp6+,kp1,45,0.0016967685984691377,0.8808803558349609,26521
02,0.0002,kp6+,kp2,164,0.006183778892198635,0.8808803558349609,26521
02,0.0002,kp6+,kp3+,26305,0.9918555107273481,0.8808803558349609,26521
05,0.0005,kp0,kp0,339201,0.9982900801101883,-5.892149925231934,339782
05,0.0005,kp0,kp1,508,0.0014950762547751206,-5.892149925231934,339782
05,0.0005,kp0,kp2,54,0.00015892542865719785,-5.892149925231934,339782
05,0.0005,kp0,kp3+,19,5.591820637938443e-05,-5.892149925231934,339782
05,0.0005,kp1,kp0,9150,0.34245293611287847,-4.296311378479004,26719
05,0.0005,kp1,kp1,14715,0.5507316890602193,-4.296311378479004,26719
05,0.0005,kp1,kp2,1772,0.06631984729967438,-4.296311378479004,26719
05,0.0005,kp1,kp3+,1082,0.04049552752722781,-4.296311378479004,26719
05,0.0005,kp2,kp0,728,0.14227086183310533,-3.4043595790863037,5117
05,0.0005,kp2,kp1,1254,0.2450654680476842,-3.4043595790863037,5117
05,0.0005,kp2,kp2,2192,0.42837600156341604,-3.4043595790863037,5117
05,0.0005,kp2,kp3+,943,0.1842876685557944,-3.4043595790863037,5117
05,0.0005,kp3-5,kp0,270,0.04650361694798484,-2.768493413925171,5806
05,0.0005,kp3-5,kp1,778,0.1339993110575267,-2.768493413925171,5806
05,0.0005,kp3-5,kp2,779,0.13417154667585257,-2.768493413925171,5806
05,0.0005,kp3-5,kp3+,3979,0.6853255253186359,-2.768493413925171,5806
05,0.0005,kp6+,kp0,24,0.0010630758327427356,0.5744450688362122,22576
05,0.0005,kp6+,kp1,179,0.007928773919206237,0.5744450688362122,22576
05,0.0005,kp6+,kp2,260,0.01151665485471297,0.5744450688362122,22576
05,0.0005,kp6+,kp3+,22113,0.979491495393338,0.5744450688362122,22576
10,0.001,kp0,kp0,359252,0.9974761287313174,-5.964328289031982,360161
10,0.001,kp0,kp1,789,0.0021906869427839215,-5.964328289031982,360161
10,0.001,kp0,kp2,90,0.00024988824442402147,-5.964328289031982,360161
10,0.001,kp0,kp3+,30,8.329608147467383e-05,-5.964328289031982,360161
10,0.001,kp1,kp0,9417,0.40662377477438577,-4.419312953948975,23159
10,0.001,kp1,kp1,11614,0.5014897016278769,-4.419312953948975,23159
10,0.001,kp1,kp2,1259,0.05436331447817263,-4.419312953948975,23159
10,0.001,kp1,kp3+,869,0.03752320911956475,-4.419312953948975,23159
10,0.001,kp2,kp0,755,0.20600272851296045,-3.5198583602905273,3665
10,0.001,kp2,kp1,979,0.26712141882673945,-3.5198583602905273,3665
10,0.001,kp2,kp2,1234,0.33669849931787177,-3.5198583602905273,3665
10,0.001,kp2,kp3+,697,0.19017735334242838,-3.5198583602905273,3665
10,0.001,kp3-5,kp0,367,0.09951193058568329,-2.7839646339416504,3688
10,0.001,kp3-5,kp1,546,0.1480477223427332,-2.7839646339416504,3688
10,0.001,kp3-5,kp2,593,0.16079175704989154,-2.7839646339416504,3688
10,0.001,kp3-5,kp3+,2182,0.591648590021692,-2.7839646339416504,3688
10,0.001,kp6+,kp0,40,0.004288624423716093,0.27874553203582764,9327
10,0.001,kp6+,kp1,175,0.018762731853757906,0.27874553203582764,9327
10,0.001,kp6+,kp2,220,0.02358743433043851,0.27874553203582764,9327
10,0.001,kp6+,kp3+,8892,0.9533612093920875,0.27874553203582764,9327
25,0.0025,kp0,kp0,364867,0.9965721808577469,-5.922475814819336,366122
25,0.0025,kp0,kp1,1095,0.0029908063432407777,-5.922475814819336,366122
25,0.0025,kp0,kp2,97,0.0002649390094012378,-5.922475814819336,366122
25,0.0025,kp0,kp3+,63,0.00017207378961111325,-5.922475814819336,366122
25,0.0025,kp1,kp0,11458,0.4924359635550971,-4.522764682769775,23268
25,0.0025,kp1,kp1,9949,0.42758294653601514,-4.522764682769775,23268
25,0.0025,kp1,kp2,1021,0.04388000687639677,-4.522764682769775,23268
25,0.0025,kp1,kp3+,840,0.036101083032490974,-4.522764682769775,23268
25,0.0025,kp2,kp0,822,0.30455724342349016,-3.6624763011932373,2699
