form,kp_group,eta_0.000156,eta_0.0002,eta_0.0005,eta_0.001,eta_0.0025
v_sumdprime_on,kp1,0.7892,0.8134,0.8679,0.8879,0.8905
v_sumdprime_on,kp2,0.8991,0.9003,0.9478,0.9576,0.9570
v_sumdprime_on,kp3-5,0.9548,0.9624,0.9804,0.9856,0.9845
v_sumdprime_on,kp6+,0.9941,0.9957,0.9982,0.9981,0.9977
