form,kp_group,eta_0.000156,eta_0.0002,eta_0.0005,eta_0.001,eta_0.0025
v_sumdprime_on,kp1,0.9388,1.2416,3.3230,6.7998,17.0530
v_sumdprime_on,kp2,0.9366,1.2113,3.2470,6.6341,16.4573
v_sumdprime_on,kp3-5,0.9231,1.1926,3.0926,6.2363,15.5165
v_sumdprime_on,kp6+,0.9000,1.1547,2.9151,5.8475,14.7299
