arm,iv,step,jump,mean,star,since20_mean,since20_star,within,between
LR,l2,20,0.07887943521070975,-0.19734731129316954,-0.06642934059149666,0.0,0.0,2.2729338194561075,1.4765940258472747
LR,l2,300,0.07887943521070975,-0.09627698917086756,-0.023477276445762536,0.1051118190362554,0.044808040557836507,6.777558893175565,2.080805274102374
LR,l2,625,0.07887943521070975,-0.06695341959110755,0.002420117925025635,0.1306456172146251,0.07064529190465244,7.614626401015431,1.82964781777366
LR,none,20,0.00607831880151769,0.0917392281859387,0.02855397323383161,0.0,0.0,1.0121546588506467,0.8325020849840248
LR,none,300,0.00607831880151769,-0.004011289771040749,-0.015196569094810198,-0.11348442111072096,-0.04887403144074733,1.5968746748970253,1.2355966009549928
LR,none,625,0.00607831880151769,-0.03215166763675553,-0.042043669006424735,-0.14162479897643573,-0.07094463611881761,1.7719918516554891,1.2689808311517976
SNA,l2,20,0.08811999833214063,-0.19632724782964983,-0.06789109667342252,0.0,0.0,2.0646773893104275,1.2189267494526246
SNA,l2,300,0.08811999833214063,-0.08666167052579546,-0.01201909499395407,0.10966557730385437,0.05261587304904978,5.104848911825057,1.5013837456822228
SNA,l2,625,0.08811999833214063,-0.08333990495880489,-0.0004042408649988949,0.11688973274961605,0.06748685580842363,5.809805618237529,1.5743662984705362
SNA,none,20,-0.0056024260308730756,-0.12365293783613134,-0.04467983517036743,0.0,0.0,1.1251076527213522,1.0817943843526112
SNA,none,300,-0.0056024260308730756,-0.008312058742675604,-0.0014452977224258424,0.11534087909345572,0.043113413599127993,1.6386414623862886,1.0276712267859227
SNA,none,625,-0.0056024260308730756,-0.008414708255182335,-0.013877984677896804,0.11373723181663867,0.03068072664365703,1.8421613792024758,1.0486922025365044
