arm,iv,seed,step,jump,mean,star,since20_mean,since20_star,within,between
LR,l2,0,20,0.07083064131514415,-0.19734731129316954,-0.06642934059149666,0.0,0.0,2.2631297234032273,1.5113009283859191
LR,l2,0,300,0.07083064131514415,-0.08954383750980974,-0.023477276445762536,0.10780347378335978,0.04295206414573412,6.583460737031777,2.17367151981364
LR,l2,0,625,0.07083064131514415,-0.06670169407854443,0.002420117925025635,0.1306456172146251,0.06884945851652229,7.430411235325664,1.8481779684147348
LR,l2,1,20,0.07887943521070975,-0.19729143229333992,-0.06500802842340876,0.0,0.0,2.3012826536676854,1.4453497626628131
LR,l2,1,300,0.07887943521070975,-0.09627698917086756,-0.020199987865572255,0.10101444312247235,0.044808040557836507,6.867107698144068,1.9577823444133071
LR,l2,1,625,0.07887943521070975,-0.06695341959110755,0.005637263481243685,0.13033801270223236,0.07064529190465244,7.8594215252976145,1.70635903158615
LR,l2,2,20,0.08777919594679713,-0.23779884222031772,-0.0881332079758146,0.0,0.0,2.2729338194561075,1.4765940258472747
LR,l2,2,300,0.08777919594679713,-0.13268702318406234,-0.0357553753413085,0.1051118190362554,0.05237783263450609,6.777558893175565,2.080805274102374
LR,l2,2,625,0.08777919594679713,-0.08561633607844973,0.0014311262275957352,0.15218250614186798,0.08956433420341034,7.614626401015431,1.82964781777366
LR,none,0,20,0.028884365236955444,0.0917392281859387,0.028210773321698766,0.0,0.0,1.0062179726192433,0.8214008269480416
LR,none,0,300,0.028884365236955444,-0.04382182417340397,-0.020663258119048566,-0.13556105235934268,-0.04887403144074733,1.5829016200056731,1.2530382140183114
LR,none,0,625,0.028884365236955444,-0.0714722911882433,-0.04273386279711885,-0.16321151937418202,-0.07094463611881761,1.7425763775503125,1.2971019081011186
LR,none,1,20,0.00607831880151769,0.09139952317991465,0.02855397323383161,0.0,0.0,1.0377790050649827,0.8854506884689741
LR,none,1,300,0.00607831880151769,0.001168314902044032,-0.010675241390033674,-0.09023120827787062,-0.039229214623865284,1.6306223045691184,1.230708712576869
LR,none,1,625,0.00607831880151769,-0.02998661363841505,-0.03770549623609001,-0.1213861368183297,-0.06625946946992162,1.8083933580594014,1.244666169165115
LR,none,2,20,-0.0038015919464576497,0.10947313133968022,0.035898938224093,0.0,0.0,1.0121546588506467,0.8325020849840248
LR,none,2,300,-0.0038015919464576497,-0.004011289771040749,-0.015196569094810198,-0.11348442111072096,-0.0510955073189032,1.5968746748970253,1.2355966009549928
LR,none,2,625,-0.0038015919464576497,-0.03215166763675553,-0.042043669006424735,-0.14162479897643573,-0.07794260723051774,1.7719918516554891,1.2689808311517976
SNA,l2,0,20,0.08811999833214063,-0.20372496833923495,-0.06789109667342252,0.0,0.0,2.022364066923692,1.2103526793845227
SNA,l2,0,300,0.08811999833214063,-0.07557168333168399,-0.009486884367799662,0.12815328500755097,0.05840421230562286,4.915073971345065,1.509452385036117
SNA,l2,0,625,0.08811999833214063,-0.08683523558961888,-0.0004042408649988949,0.11688973274961605,0.06748685580842363,5.615941992061217,1.588750914619991
SNA,l2,1,20,0.08924589890218879,-0.17012373009013856,-0.055758225649884606,0.0,0.0,2.1151542734652313,1.2189267494526246
SNA,l2,1,300,0.08924589890218879,-0.08807283573767637,-0.01201909499395407,0.08205089435246218,0.04373913065593054,5.438821546567501,1.4531845314808753
SNA,l2,1,625,0.08924589890218879,-0.08333990495880489,8.784508840710414e-05,0.08678382513133368,0.05584607073829171,6.209378706907452,1.5137574365502477
SNA,l2,2,20,0.0783152707869185,-0.19632724782964983,-0.07165575135246381,0.0,0.0,2.0646773893104275,1.2431163202753173
SNA,l2,2,300,0.0783152707869185,-0.08666167052579546,-0.019039878303414037,0.10966557730385437,0.05261587304904978,5.104848911825057,1.5013837456822228
SNA,l2,2,625,0.0783152707869185,-0.07800539117725622,-0.0008015989725780797,0.11832185665239361,0.07085415237988574,5.809805618237529,1.5743662984705362
SNA,none,0,20,-0.012095298868840098,-0.12365293783613134,-0.04455871132155383,0.0,0.0,1.129982319787969,1.0704470967241306
SNA,none,0,300,-0.012095298868840098,-0.008312058742675604,-0.0014452977224258424,0.11534087909345572,0.043113413599127993,1.680947925892634,1.0276712267859227
SNA,none,0,625,-0.012095298868840098,-0.008414708255182335,-0.013877984677896804,0.11523822958094901,0.03068072664365703,1.8829621757849417,0.9827109153587197
SNA,none,1,20,-0.0056024260308730756,-0.1153958142074231,-0.04467983517036743,0.0,0.0,1.1251076527213522,1.0817943843526112
SNA,none,1,300,-0.0056024260308730756,0.006812638956010963,0.0062373348824091065,0.12220845316343407,0.05091717005277654,1.6386414623862886,1.021041501042191
SNA,none,1,625,-0.0056024260308730756,-0.0016585823907844521,-0.009098767991260864,0.11373723181663867,0.03558106717910657,1.8421613792024758,1.0486922025365044
SNA,none,2,20,0.02398552731808329,-0.12665274558473213,-0.04523440847828191,0.0,0.0,1.1115657858298962,1.094201220386751
SNA,none,2,300,0.02398552731808329,-0.03466384045810137,-0.011153097590207167,0.09198890512663076,0.03408131088807474,1.6120140472859852,1.105730831573689
SNA,none,2,625,0.02398552731808329,-0.031925474533582444,-0.017673616589860698,0.09472727105114968,0.027560791888421216,1.7918480960766234,1.0978169793294186
