arm,step,seed,valid_units,undefined_alignment_units,positive_residual_radial_mean,negative_residual_radial_mean,compensated_self_change_norm,free_rms,fixed15_rms,full_W_rms,b_rms,v_rms
SN_normal_qm05,0,0,100,0,0.08750861700210842,-0.08750861700210842,0.4479018806935289,0.7223637571689193,1.2455832527098163,1.43989132822667,0.0,0.09690787394070474
SN_normal_qm05,0,1,100,0,0.08903023213788996,-0.08903023213788996,0.4649481490252244,0.7127536716197848,1.2285323232037724,1.4203201982524725,0.0,0.09383858786956806
SN_normal_qm05,0,2,100,0,0.09755966410150683,-0.09755966410150683,0.4696831215466591,0.6951739093373812,1.2010048801020374,1.3876885407944848,0.0,0.09725408151334809
SN_normal_qm05,0,3,100,0,0.09890781059787392,-0.09890781059787392,0.4923338153408385,0.7019225972385063,1.2113071717149355,1.3999858559150113,0.0,0.09900362643730118
SN_normal_qm05,0,4,100,0,0.10113909647531996,-0.10113909647531996,0.5253694278772509,0.6889504467660764,1.2193316805651104,1.4005079311910063,0.0,0.0990179919603878
SN_normal_qm05,0,5,100,0,0.10771886877826171,-0.10771886877826171,0.4573556632192189,0.7318089860993301,1.2217157668818017,1.4241256290030448,0.0,0.10266809539896947
SN_normal_qm05,0,6,100,0,0.09623432451165424,-0.09623432451165424,0.49701012971478997,0.7122233603226376,1.2291842950316798,1.4206182267385552,0.0,0.09505523439166862
SN_normal_qm05,0,7,100,0,0.08899463990480605,-0.08899463990480605,0.5077671875040565,0.6784986527169264,1.2269215292864164,1.4020331168575166,0.0,0.1006962298499074
SN_normal_qm05,0,8,100,0,0.07171148031005742,-0.07171148031005742,0.4776849603008582,0.6937528812430814,1.2293444971694258,1.411588096065501,0.0,0.09911488383105638
SN_normal_qm05,0,9,100,0,0.10234854814412449,-0.10234854814412449,0.5226544675454751,0.7202572566321502,1.2377982887703136,1.4321016442326948,0.0,0.10206279604236057
SN_normal_qm05,200000,0,100,0,0.31330376422299694,-0.31330376422299694,3.9226570725416887,1.0273291106728386,1.1888671756952551,1.5712448132234067,0.1262010189639795,0.22206063927016464
SN_normal_qm05,200000,1,100,0,0.3941024678135579,-0.3941024678135579,5.258134696050108,1.0870963233061377,1.1856253232460623,1.6085663875849365,0.11577373125576376,0.24291638173562408
SN_normal_qm05,200000,2,100,0,0.2635273691312048,-0.2635273691312048,2.1519260861610148,0.9866839484052314,1.1679006094135314,1.5289006009250683,0.12488484855334012,0.19853170778828577
SN_normal_qm05,200000,3,100,0,0.3037212007983875,-0.3037212007983875,3.2617287131260477,1.0992595433751786,1.1586646643453418,1.5971460008727787,0.1383489913545534,0.21161960749073577
SN_normal_qm05,200000,4,100,0,0.2861153951530133,-0.2861153951530133,4.598994679595977,1.1223768674904429,1.1580654656963945,1.6127136929772334,0.1434094971263411,0.2297281890397481
SN_normal_qm05,200000,5,100,0,0.28338094538536407,-0.28338094538536407,3.182551204053717,1.0598201538736511,1.1864641978877102,1.5908853042963522,0.13662961183085087,0.1963736821078528
SN_normal_qm05,200000,6,100,0,0.33612860613808315,-0.33612860613808315,2.559000290439298,1.1116272579795399,1.1880124197976867,1.6269876060611725,0.1232355935680566,0.2212574998175412
SN_normal_qm05,200000,7,100,0,0.19721386590005338,-0.19721386590005338,1.7873664201044195,1.0619496264160728,1.1775711725132678,1.5856894006644267,0.13024783583058624,0.16987782165686663
SN_normal_qm05,200000,8,100,0,0.29056545531110684,-0.29056545531110684,2.8948993732481356,1.088390135839631,1.185727310990694,1.6095161831501519,0.12893672362694197,0.21637285010037532
SN_normal_qm05,200000,9,100,0,0.2853831576747307,-0.2853831576747307,3.6042006494654255,1.0776705251713299,1.188402514034236,1.6042675263764279,0.1315634089210423,0.21176562402523436
SN_normal_qm05,1000000,0,100,0,0.28819984424504563,-0.28819984424504563,2.2613967962931327,1.2437338513999339,1.1051192295051917,1.6637795540696672,0.1587179004371358,0.19030738621213905
