contrast,geometry,optimizer,reference_geometry,reference_optimizer,window,metric,statistic,n_seed,n_valid,seed_median,ci95_low,ci95_high
adam_over_sgd,avg16,adam,avg16,sgd,early,R,difference,5,5,24.174365581100552,22.510538779857757,25.762619995568805
adam_over_sgd,avg16,adam,avg16,sgd,early,R,ratio,5,5,1.9584283500696926,1.8335740938573697,2.054061377670652
adam_over_sgd,avg16,adam,avg16,sgd,early,c,difference,5,5,-0.1768729387621556,-0.18772050424111786,-0.1651649708965363
adam_over_sgd,avg16,adam,avg16,sgd,early,c,ratio,5,0,,,
adam_over_sgd,avg16,adam,avg16,sgd,early,d_eff,difference,5,5,19.554144156627917,19.522936800549648,19.735764867131685
adam_over_sgd,avg16,adam,avg16,sgd,early,d_eff,ratio,5,5,3.3227821943831755,3.2881596777472057,3.376250234314664
adam_over_sgd,avg16,adam,avg16,sgd,early,rho,difference,5,5,0.237060810397759,0.2146430931097258,0.24774783187449345
adam_over_sgd,avg16,adam,avg16,sgd,early,rho,ratio,5,5,1.7382199989891465,1.627695859250543,1.7998578347805596
adam_over_sgd,avg16,adam,avg16,sgd,early,train_acc,difference,5,5,0.4008333683013916,0.3812499940395355,0.4320833384990692
adam_over_sgd,avg16,adam,avg16,sgd,early,train_acc,ratio,5,5,1.7924218241378194,1.702225598019373,1.8986134947803068
adam_over_sgd,avg16,adam,avg16,sgd,late,R,difference,5,5,33.80627041775585,33.310458355678165,35.056684948232146
adam_over_sgd,avg16,adam,avg16,sgd,late,R,ratio,5,5,2.2522089309713125,2.203588631531807,2.3080245677044635
adam_over_sgd,avg16,adam,avg16,sgd,late,c,difference,5,5,-0.1129619956040864,-0.11931500393086258,-0.09197986121356574
adam_over_sgd,avg16,adam,avg16,sgd,late,c,ratio,5,0,,,
adam_over_sgd,avg16,adam,avg16,sgd,late,d_eff,difference,5,5,23.758490719014226,22.977903182979553,24.275744708047156
adam_over_sgd,avg16,adam,avg16,sgd,late,d_eff,ratio,5,5,3.9206494326986943,3.7276380800702147,4.012216034951049
adam_over_sgd,avg16,adam,avg16,sgd,late,rho,difference,5,5,0.22376711243654768,0.20895813626650295,0.2254098735845519
adam_over_sgd,avg16,adam,avg16,sgd,late,rho,ratio,5,5,1.737265372812298,1.6760944791407213,1.7580019527509056
adam_over_sgd,avg16,adam,avg16,sgd,late,train_acc,difference,5,5,0.4304167032241822,0.4162500202655792,0.43958334624767303
adam_over_sgd,avg16,adam,avg16,sgd,late,train_acc,ratio,5,5,1.9161571641042086,1.8641868619158013,1.9278803943971634
adam_over_sgd,dup64,adam,dup64,sgd,early,R,difference,5,5,458.34638518047916,452.6756185776132,463.4230580445984
adam_over_sgd,dup64,adam,dup64,sgd,early,R,ratio,5,5,7.970376295051738,7.756821214041994,8.121666987922428
adam_over_sgd,dup64,adam,dup64,sgd,early,c,difference,5,5,-0.05644335768473446,-0.07135078521499388,-0.047331237625920064
adam_over_sgd,dup64,adam,dup64,sgd,early,c,ratio,5,0,,,
adam_over_sgd,dup64,adam,dup64,sgd,early,d_eff,difference,5,5,298.0086857784611,296.08413752161727,306.87502442384067
adam_over_sgd,dup64,adam,dup64,sgd,early,d_eff,ratio,5,5,10.24351200249838,9.992560381097926,10.602571370589404
adam_over_sgd,dup64,adam,dup64,sgd,early,rho,difference,5,5,0.14559182608119775,0.13513702864565924,0.15159569850658028
adam_over_sgd,dup64,adam,dup64,sgd,early,rho,ratio,5,5,1.3020500954088006,1.2704992833221356,1.314008498529528
adam_over_sgd,dup64,adam,dup64,sgd,early,train_acc,difference,5,5,0.07291665673255932,-0.013333320617675781,0.09374997019767772
adam_over_sgd,dup64,adam,dup64,sgd,early,train_acc,ratio,5,5,1.0806080009604393,0.985540004983196,1.103926060069256
adam_over_sgd,dup64,adam,dup64,sgd,late,R,difference,5,5,602.4916791343454,602.2042963266887,612.1165104070624
adam_over_sgd,dup64,adam,dup64,sgd,late,R,ratio,5,5,9.314650287521857,9.25043428938416,9.413668357291064
adam_over_sgd,dup64,adam,dup64,sgd,late,c,difference,5,5,-0.053061321107028964,-0.062264417993441734,-0.0401772971054799
adam_over_sgd,dup64,adam,dup64,sgd,late,c,ratio,5,0,,,
adam_over_sgd,dup64,adam,dup64,sgd,late,d_eff,difference,5,5,343.79856221519333,342.2126428772095,354.43639065849715
adam_over_sgd,dup64,adam,dup64,sgd,late,d_eff,ratio,5,5,11.677900664287822,11.155753027669888,12.088112681569797
adam_over_sgd,dup64,adam,dup64,sgd,late,rho,difference,5,5,0.11285807835709016,0.10074657420007382,0.1345850738351992
adam_over_sgd,dup64,adam,dup64,sgd,late,rho,ratio,5,5,1.2537773014501987,1.2206707627191697,1.3111499488476417
adam_over_sgd,dup64,adam,dup64,sgd,late,train_acc,difference,5,5,0.125,0.10291662812232971,0.14166665077209473
adam_over_sgd,dup64,adam,dup64,sgd,late,train_acc,ratio,5,5,1.1432664752532105,1.1152051753020338,1.165934579688825
adam_over_sgd,dup64_half,adam,dup64_half,sgd,early,R,difference,5,5,234.67074339787098,230.04208940362082,240.52320236872322
adam_over_sgd,dup64_half,adam,dup64_half,sgd,early,R,ratio,5,5,6.979084462493032,6.857346900985709,7.077250912374828
adam_over_sgd,dup64_half,adam,dup64_half,sgd,early,c,difference,5,5,-0.10902917319710959,-0.12618500410807498,-0.09754733147106506
adam_over_sgd,dup64_half,adam,dup64_half,sgd,early,c,ratio,5,0,,,
adam_over_sgd,dup64_half,adam,dup64_half,sgd,early,d_eff,difference,5,5,158.67924638387066,153.8493555064358,159.42196977160526
adam_over_sgd,dup64_half,adam,dup64_half,sgd,early,d_eff,ratio,5,5,10.659266695620607,10.274585868652538,11.037966458562044
adam_over_sgd,dup64_half,adam,dup64_half,sgd,early,rho,difference,5,5,0.21770145030955124,0.19888239254626927,0.2313000922034949
adam_over_sgd,dup64_half,adam,dup64_half,sgd,early,rho,ratio,5,5,1.5249681518984164,1.467240241069681,1.5656964618415046
adam_over_sgd,dup64_half,adam,dup64_half,sgd,early,train_acc,difference,5,5,0.19041666388511658,0.1745833456516266,0.20541664958000172
adam_over_sgd,dup64_half,adam,dup64_half,sgd,early,train_acc,ratio,5,5,1.2387669723755832,1.2148718100327711,1.2590646071361171
adam_over_sgd,dup64_half,adam,dup64_half,sgd,late,R,difference,5,5,308.128710346578,304.8236026735258,315.3950187356543
adam_over_sgd,dup64_half,adam,dup64_half,sgd,late,R,ratio,5,5,8.414369677822984,8.344086975106393,8.548278184292469
adam_over_sgd,dup64_half,adam,dup64_half,sgd,late,c,difference,5,5,-0.0835269395669066,-0.09333301871211985,-0.061904632732901255
adam_over_sgd,dup64_half,adam,dup64_half,sgd,late,c,ratio,5,0,,,
adam_over_sgd,dup64_half,adam,dup64_half,sgd,late,d_eff,difference,5,5,177.36845287597842,176.98610541474838,183.01731630054834
adam_over_sgd,dup64_half,adam,dup64_half,sgd,late,d_eff,ratio,5,5,12.175447987732376,11.764503187975423,12.382265616643851
adam_over_sgd,dup64_half,adam,dup64_half,sgd,late,rho,difference,5,5,0.16327389374863632,0.16202758150552565,0.17971932070529817
adam_over_sgd,dup64_half,adam,dup64_half,sgd,late,rho,ratio,5,5,1.4187045709689428,1.4153175290069488,1.4680159093919138
adam_over_sgd,dup64_half,adam,dup64_half,sgd,late,train_acc,difference,5,5,0.25708332657814037,0.24583333730697632,0.2591666579246521
adam_over_sgd,dup64_half,adam,dup64_half,sgd,late,train_acc,ratio,5,5,1.3489289589787534,1.3301622862022766,1.3532083849416128
adam_over_sgd,gray32,adam,gray32,sgd,early,R,difference,5,5,30.207469685571226,28.503924292953243,32.98820059511306
adam_over_sgd,gray32,adam,gray32,sgd,early,R,ratio,5,5,2.102051528769035,2.0329125134669384,2.3095105335018244
adam_over_sgd,gray32,adam,gray32,sgd,early,c,difference,5,5,-0.14534417230060753,-0.15551753207753446,-0.13512124753478338
adam_over_sgd,gray32,adam,gray32,sgd,early,c,ratio,5,0,,,
adam_over_sgd,gray32,adam,gray32,sgd,early,d_eff,difference,5,5,23.539240470555274,23.386648315779965,24.528780813233695
adam_over_sgd,gray32,adam,gray32,sgd,early,d_eff,ratio,5,5,3.5874411424928083,3.4838655794705597,3.646701922447217
adam_over_sgd,gray32,adam,gray32,sgd,early,rho,difference,5,5,0.23125465879835905,0.20502939177738988,0.24677388819194368
adam_over_sgd,gray32,adam,gray32,sgd,early,rho,ratio,5,5,1.6754048195377247,1.5512429020620975,1.738865164006449
adam_over_sgd,gray32,adam,gray32,sgd,early,train_acc,difference,5,5,0.38708338141441345,0.36000001430511475,0.4191666841506958
adam_over_sgd,gray32,adam,gray32,sgd,early,train_acc,ratio,5,5,1.6776076797703503,1.6093088763635635,1.7732513495984645
adam_over_sgd,gray32,adam,gray32,sgd,late,R,difference,5,5,40.7777649414991,39.41502022016722,41.258571626815844
adam_over_sgd,gray32,adam,gray32,sgd,late,R,ratio,5,5,2.4467973808387797,2.389646788964785,2.486626619926515
adam_over_sgd,gray32,adam,gray32,sgd,late,c,difference,5,5,-0.09772415119244848,-0.09980373919759195,-0.08493920286023937
adam_over_sgd,gray32,adam,gray32,sgd,late,c,ratio,5,0,,,
adam_over_sgd,gray32,adam,gray32,sgd,late,d_eff,difference,5,5,27.43240012483443,26.833552129016248,27.603490681340105
adam_over_sgd,gray32,adam,gray32,sgd,late,d_eff,ratio,5,5,3.9270077673397195,3.880263860124356,3.979369370371629
adam_over_sgd,gray32,adam,gray32,sgd,late,rho,difference,5,5,0.19915188288037577,0.1933810955571108,0.20578336422982435
adam_over_sgd,gray32,adam,gray32,sgd,late,rho,ratio,5,5,1.592520227452245,1.5665381545613049,1.632552117673253
adam_over_sgd,gray32,adam,gray32,sgd,late,train_acc,difference,5,5,0.40583336353302,0.3799999952316284,0.4204166531562805
adam_over_sgd,gray32,adam,gray32,sgd,late,train_acc,ratio,5,5,1.7486549096806865,1.6956521454479865,1.7982594162223386
adam_over_sgd,rgb32,adam,rgb32,sgd,early,R,difference,5,5,106.19107022028977,103.83295092583631,107.7437735786184
adam_over_sgd,rgb32,adam,rgb32,sgd,early,R,ratio,5,5,3.6865675511570415,3.59986515157838,3.8297420107732605
adam_over_sgd,rgb32,adam,rgb32,sgd,early,c,difference,5,5,-0.09883576367909461,-0.10959949839326022,-0.08338452200418728
adam_over_sgd,rgb32,adam,rgb32,sgd,early,c,ratio,5,0,,,
adam_over_sgd,rgb32,adam,rgb32,sgd,early,d_eff,difference,5,5,73.49101026069837,73.02176317860156,73.79010804210567
adam_over_sgd,rgb32,adam,rgb32,sgd,early,d_eff,ratio,5,5,5.518134078420411,5.435370143572728,5.563453931916436
adam_over_sgd,rgb32,adam,rgb32,sgd,early,rho,difference,5,5,0.20311702339521348,0.18888225369454864,0.22247776538372044
adam_over_sgd,rgb32,adam,rgb32,sgd,early,rho,ratio,5,5,1.499634145194197,1.443002489241152,1.5654235556560596
adam_over_sgd,rgb32,adam,rgb32,sgd,early,train_acc,difference,5,5,0.20750001072883606,0.1899999976158142,0.21999996900558472
adam_over_sgd,rgb32,adam,rgb32,sgd,early,train_acc,ratio,5,5,1.2637711539340164,1.2355371855026824,1.2837183780398895
adam_over_sgd,rgb32,adam,rgb32,sgd,late,R,difference,5,5,142.0533374142105,139.57720101929084,142.4474166276229
adam_over_sgd,rgb32,adam,rgb32,sgd,late,R,ratio,5,5,4.450556159605942,4.3982256576086405,4.46410287904831
adam_over_sgd,rgb32,adam,rgb32,sgd,late,c,difference,5,5,-0.07673383933384004,-0.08944170680266594,-0.05915913159498373
adam_over_sgd,rgb32,adam,rgb32,sgd,late,c,ratio,5,0,,,
adam_over_sgd,rgb32,adam,rgb32,sgd,late,d_eff,difference,5,5,85.2691661513452,82.04137110118128,86.5113745377629
adam_over_sgd,rgb32,adam,rgb32,sgd,late,d_eff,ratio,5,5,6.27100006142683,6.13471127936573,6.421983917355018
adam_over_sgd,rgb32,adam,rgb32,sgd,late,rho,difference,5,5,0.1581706914300584,0.15266404162012748,0.16957636538872745
adam_over_sgd,rgb32,adam,rgb32,sgd,late,rho,ratio,5,5,1.4043517905073168,1.3918556801886772,1.444372784615116
adam_over_sgd,rgb32,adam,rgb32,sgd,late,train_acc,difference,5,5,0.25833332538604736,0.2291666865348816,0.273749977350235
adam_over_sgd,rgb32,adam,rgb32,sgd,late,train_acc,ratio,5,5,1.3500846816738439,1.3070910357609895,1.378674306724488
geometry_over_rgb32,avg16,adam,rgb32,adam,early,R,difference,5,5,-95.91062658840063,-97.34675588994385,-94.12882418924654
geometry_over_rgb32,avg16,adam,rgb32,adam,early,R,ratio,5,5,0.34101326692891987,0.33873841922146614,0.3468921275576746
geometry_over_rgb32,avg16,adam,rgb32,adam,early,c,difference,5,5,0.012873230594433516,0.0035588939658413032,0.034237919610850376
geometry_over_rgb32,avg16,adam,rgb32,adam,early,c,ratio,5,0,,,
geometry_over_rgb32,avg16,adam,rgb32,adam,early,d_eff,difference,5,5,-62.000686060723815,-62.24983962376137,-61.05062857400531
geometry_over_rgb32,avg16,adam,rgb32,adam,early,d_eff,ratio,5,5,0.3116000424085267,0.3091035874501647,0.3144800600395856
geometry_over_rgb32,avg16,adam,rgb32,adam,early,rho,difference,5,5,-0.057130672838680674,-0.062055202025609435,-0.045374825771089866
geometry_over_rgb32,avg16,adam,rgb32,adam,early,rho,ratio,5,5,0.9062891654328766,0.8998371131719378,0.9262498512270546
geometry_over_rgb32,avg16,adam,rgb32,adam,early,train_acc,difference,5,5,-0.08958330750465382,-0.0912499725818634,-0.07333332300186157
geometry_over_rgb32,avg16,adam,rgb32,adam,early,train_acc,ratio,5,5,0.909891057498707,0.9084448438553672,0.9264828843843779
geometry_over_rgb32,avg16,adam,rgb32,adam,late,R,difference,5,5,-121.36365281705328,-122.75097370835722,-119.6643458351426
geometry_over_rgb32,avg16,adam,rgb32,adam,late,R,ratio,5,5,0.3339334985520435,0.33137206539066494,0.33761267654001426
geometry_over_rgb32,avg16,adam,rgb32,adam,late,c,difference,5,5,0.018639752292920447,0.004678774200624902,0.03824556962058823
geometry_over_rgb32,avg16,adam,rgb32,adam,late,c,ratio,5,0,,,
geometry_over_rgb32,avg16,adam,rgb32,adam,late,d_eff,difference,5,5,-69.29863256630009,-71.52207474178633,-65.58764088365645
geometry_over_rgb32,avg16,adam,rgb32,adam,late,d_eff,ratio,5,5,0.3145365205285805,0.3050987257670416,0.33086923105025884
geometry_over_rgb32,avg16,adam,rgb32,adam,late,rho,difference,5,5,-0.029273905002734857,-0.04233266224258547,-0.009799960920784168
geometry_over_rgb32,avg16,adam,rgb32,adam,late,rho,ratio,5,5,0.9468348134697512,0.9244541574198675,0.9818837152152816
geometry_over_rgb32,avg16,adam,rgb32,adam,late,train_acc,difference,5,5,-0.08333331346511841,-0.0979166328907013,-0.07749998569488525
geometry_over_rgb32,avg16,adam,rgb32,adam,late,train_acc,ratio,5,5,0.9163879800675689,0.9017147979531182,0.9205467914578608
geometry_over_rgb32,avg16,sgd,rgb32,sgd,early,R,difference,5,5,-13.368838283430176,-15.76156219528174,-12.80641204326798
geometry_over_rgb32,avg16,sgd,rgb32,sgd,early,R,ratio,5,5,0.6581155146738484,0.6079491562067538,0.6783218326482876
geometry_over_rgb32,avg16,sgd,rgb32,sgd,early,c,difference,5,5,0.0923862776999701,0.08167989981369893,0.11319686790050967
geometry_over_rgb32,avg16,sgd,rgb32,sgd,early,c,ratio,5,0,,,
geometry_over_rgb32,avg16,sgd,rgb32,sgd,early,d_eff,difference,5,5,-7.831595015577374,-8.195496448787386,-7.583009552031662
geometry_over_rgb32,avg16,sgd,rgb32,sgd,early,d_eff,ratio,5,5,0.5201461771223324,0.5051980514758818,0.5305238029444964
geometry_over_rgb32,avg16,sgd,rgb32,sgd,early,rho,difference,5,5,-0.0910744598412262,-0.0973412641035355,-0.051517015208831396
geometry_over_rgb32,avg16,sgd,rgb32,sgd,early,rho,ratio,5,5,0.7759719538462546,0.7608799207723376,0.8690703591618498
geometry_over_rgb32,avg16,sgd,rgb32,sgd,early,train_acc,difference,5,5,-0.29458335041999817,-0.31083330512046814,-0.23500001430511475
geometry_over_rgb32,avg16,sgd,rgb32,sgd,early,train_acc,ratio,5,5,0.6270661044815722,0.6061246359946826,0.6979110817244581
geometry_over_rgb32,avg16,sgd,rgb32,sgd,late,R,difference,5,5,-14.043022209598782,-14.36700035107495,-13.397603171529909
geometry_over_rgb32,avg16,sgd,rgb32,sgd,late,R,ratio,5,5,0.6578238509392167,0.6510174103695279,0.6738143585379719
geometry_over_rgb32,avg16,sgd,rgb32,sgd,late,c,difference,5,5,0.05840525951371142,0.02117790670382025,0.06851730839780348
geometry_over_rgb32,avg16,sgd,rgb32,sgd,late,c,ratio,5,0,,,
geometry_over_rgb32,avg16,sgd,rgb32,sgd,late,d_eff,difference,5,5,-7.880352572711894,-8.324150063985975,-7.591901776697382
geometry_over_rgb32,avg16,sgd,rgb32,sgd,late,d_eff,ratio,5,5,0.510444724499871,0.48773383460200037,0.5172561056556926
geometry_over_rgb32,avg16,sgd,rgb32,sgd,late,rho,difference,5,5,-0.08962033733332753,-0.09534209554993534,-0.08254579288520858
