geometry,optimizer,seed,window,first_task,last_task,series_status,available,unavailable_reason,R,d_eff,c,rho,train_acc,top10_Q_fraction,mean_shift_sq,raw_W_sq,raw_D_sq
rgb32,adam,300,early,6,15,COMPLETE,True,,145.30791632376133,90.4268498817996,-0.30035705755715225,0.6173577095503537,0.995416671037674,0.7286699830300714,20048.368176935342,49141.84261738385,12878.645664791431
rgb32,adam,300,late,41,50,COMPLETE,True,,183.4684515087676,102.92408057638602,-0.2743516041844139,0.5603572717808081,0.9858333468437194,0.7360067231661835,21538.060408267986,179766.23758387478,14266.744664334557
rgb32,adam,301,early,6,15,COMPLETE,True,,144.72484724749725,89.02318759704329,-0.29395608221503666,0.6159487539165205,0.9975000023841858,0.7106288942691119,18323.062418879363,48976.99629642104,13263.935726331856
rgb32,adam,301,late,41,50,COMPLETE,True,,180.65075383258826,100.9957281351258,-0.2832589465311974,0.5511847159892315,0.9970833361148834,0.7151093116645109,20628.29883275427,180848.68036947827,14343.174349723398
rgb32,adam,302,early,6,15,COMPLETE,True,,145.81924942356164,89.65324243978779,-0.3066460087772396,0.6152506337415716,0.9941666722297668,0.7183836952843081,17543.988836489974,49298.946515765216,12972.763183214862
rgb32,adam,302,late,41,50,COMPLETE,True,,183.22158126926286,101.09748315072633,-0.2622401220943409,0.5493416844695866,0.9962500035762787,0.7156883066740226,22846.79443093877,181394.80443992975,14315.489942637114
rgb32,adam,303,early,6,15,COMPLETE,True,,147.72187512224735,90.01764359861684,-0.2945174108573048,0.6096485331987844,0.996666669845581,0.7209769686984928,17932.69975504493,47770.75573656471,12547.69806151851
rgb32,adam,303,late,41,50,COMPLETE,True,,182.0828963355288,98.01916744405872,-0.26155372348472006,0.5409476080355456,0.996666669845581,0.7155259465152419,20118.301109569053,180572.14482409914,14587.655722851465
rgb32,adam,304,early,6,15,COMPLETE,True,,143.64420746431898,89.73948183042798,-0.3017807671898081,0.6195428665323142,0.996666669845581,0.7220242237551036,19738.19828144348,47982.63958842309,12755.439514322605
rgb32,adam,304,late,41,50,COMPLETE,True,,183.58636747667143,101.35250334269948,-0.26802629997330785,0.5463497319515355,0.9754166901111603,0.7274633694699246,22583.607298831375,179261.05109572207,14468.927868379298
rgb32,sgd,300,early,6,15,COMPLETE,True,,39.11684610347156,16.63674183969393,-0.20152129387805764,0.42458164906074664,0.7754167020320892,0.7572725616543825,1224.6982341107805,1270.4863060007478,318.7687975120155
rgb32,sgd,300,late,41,50,COMPLETE,True,,41.09861633562548,16.41270603862311,-0.19761776485057386,0.3986868106050472,0.7366666793823242,0.7565112094267239,1256.8333223618847,2779.029294765749,322.61322702086716
rgb32,sgd,301,early,6,15,COMPLETE,True,,40.20285237185673,16.001424418441726,-0.18435658382177644,0.39347098853280005,0.7779166996479034,0.7268337338394717,1192.1902772781202,1299.6217312626986,316.91960705863266
rgb32,sgd,301,late,41,50,COMPLETE,True,,41.07355281329742,15.726561983780595,-0.20056868970432623,0.381608350600504,0.7266666889190674,0.7237949027152608,1234.0719551418567,2753.720141874197,315.3691765561297
rgb32,sgd,302,early,6,15,COMPLETE,True,,38.07547584494324,16.162232179089408,-0.20224573043388902,0.426368380047023,0.7866666913032532,0.7327163674699513,1210.977016014589,1277.887073270919,325.3564886689926
