geometry,seed,dimension,n_images,numeric_rank,rank_cutoff_relative_singular,cov_trace,cov_trace_sq,cov_participation_ratio,top10_cov_trace_fraction,largest_cov_eigenvalue,input_mean_sq,source_bank
rgb32,300,3072,1200,1199,1e-10,193.70729589827627,4215.730334395274,8.900596932892952,0.6677172762557722,57.60483024296814,707.995624683202,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/rgb32/seed300.npz
dup64,300,12288,1200,1199,1e-10,774.8291835931051,67451.68535032439,8.900596932892952,0.6677172762557722,230.41932097187257,2831.982498732808,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/dup64/seed300.npz
dup64_half,300,12288,1200,1199,1e-10,193.70729589827627,4215.730334395274,8.900596932892952,0.6677172762557722,57.60483024296814,707.995624683202,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/dup64_half/seed300.npz
gray32,300,1024,1200,1024,1e-10,58.62374631041768,430.28832025787597,7.9870716207414985,0.6951398694226949,18.34304676575066,242.08156002282212,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/gray32/seed300.npz
avg16,300,768,1200,768,1e-10,45.21984874162117,261.7420032416935,7.812405708253444,0.7104003055270904,14.379615536986844,176.98910398585758,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/avg16/seed300.npz
rgb32,301,3072,1200,1199,1e-10,189.95761238648083,3888.1905959463934,9.280382124577821,0.6519772496898353,55.36480811812934,683.8326583706643,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/rgb32/seed301.npz
dup64,301,12288,1200,1199,1e-10,759.8304495459233,62211.049535142294,9.280382124577821,0.6519772496898353,221.45923247251736,2735.3306334826575,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/dup64/seed301.npz
dup64_half,301,12288,1200,1199,1e-10,189.95761238648083,3888.1905959463934,9.280382124577821,0.6519772496898353,55.36480811812934,683.8326583706644,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/dup64_half/seed301.npz
gray32,301,1024,1200,1024,1e-10,57.57937899193027,394.52300654368395,8.40352737383198,0.6818739675540977,17.530220564206015,234.7400797079376,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/gray32/seed301.npz
avg16,301,768,1200,768,1e-10,44.296582763746194,241.31858269277893,8.131107114297384,0.6942828758481354,13.819539567292969,170.94813358835086,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/avg16/seed301.npz
rgb32,302,3072,1200,1199,1e-10,191.2471959302705,4013.192347404928,9.113814336569808,0.655874786691113,56.05097573326258,699.3422500294497,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/rgb32/seed302.npz
dup64,302,12288,1200,1199,1e-10,764.988783721082,64211.07755847885,9.113814336569808,0.655874786691113,224.20390293305033,2797.3690001177993,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/dup64/seed302.npz
dup64_half,302,12288,1200,1199,1e-10,191.2471959302705,4013.192347404928,9.113814336569808,0.655874786691113,56.05097573326258,699.3422500294498,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/dup64_half/seed302.npz
gray32,302,1024,1200,1024,1e-10,57.888794587423796,408.2717875821229,8.208043368930747,0.6826192367044763,17.793778750214013,240.20538933070827,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/gray32/seed302.npz
