geometry,optimizer,seed,status,last_saved_task,first_nonfinite_task,reason,missing_count,first_missing
rgb32,adam,300,COMPLETE,50,,,0,
rgb32,adam,301,COMPLETE,50,,,0,
rgb32,adam,302,COMPLETE,50,,,0,
rgb32,adam,303,COMPLETE,50,,,0,
rgb32,adam,304,COMPLETE,50,,,0,
rgb32,sgd,300,COMPLETE,50,,,0,
rgb32,sgd,301,COMPLETE,50,,,0,
rgb32,sgd,302,COMPLETE,50,,,0,
rgb32,sgd,303,COMPLETE,50,,,0,
rgb32,sgd,304,COMPLETE,50,,,0,
dup64,adam,300,COMPLETE,50,,,0,
dup64,adam,301,COMPLETE,50,,,0,
dup64,adam,302,COMPLETE,50,,,0,
dup64,adam,303,COMPLETE,50,,,0,
dup64,adam,304,COMPLETE,50,,,0,
dup64,sgd,300,COMPLETE,50,,,0,
dup64,sgd,301,COMPLETE,50,,,0,
dup64,sgd,302,COMPLETE,50,,,0,
dup64,sgd,303,COMPLETE,50,,,0,
dup64,sgd,304,COMPLETE,50,,,0,
dup64_half,adam,300,COMPLETE,50,,,0,
dup64_half,adam,301,COMPLETE,50,,,0,
dup64_half,adam,302,COMPLETE,50,,,0,
dup64_half,adam,303,COMPLETE,50,,,0,
dup64_half,adam,304,COMPLETE,50,,,0,
dup64_half,sgd,300,COMPLETE,50,,,0,
dup64_half,sgd,301,COMPLETE,50,,,0,
dup64_half,sgd,302,COMPLETE,50,,,0,
dup64_half,sgd,303,COMPLETE,50,,,0,
dup64_half,sgd,304,COMPLETE,50,,,0,
gray32,adam,300,COMPLETE,50,,,0,
gray32,adam,301,COMPLETE,50,,,0,
gray32,adam,302,COMPLETE,50,,,0,
gray32,adam,303,COMPLETE,50,,,0,
gray32,adam,304,COMPLETE,50,,,0,
gray32,sgd,300,COMPLETE,50,,,0,
gray32,sgd,301,COMPLETE,50,,,0,
gray32,sgd,302,COMPLETE,50,,,0,
gray32,sgd,303,COMPLETE,50,,,0,
gray32,sgd,304,COMPLETE,50,,,0,
avg16,adam,300,COMPLETE,50,,,0,
avg16,adam,301,COMPLETE,50,,,0,
avg16,adam,302,COMPLETE,50,,,0,
avg16,adam,303,COMPLETE,50,,,0,
avg16,adam,304,COMPLETE,50,,,0,
avg16,sgd,300,COMPLETE,50,,,0,
avg16,sgd,301,COMPLETE,50,,,0,
avg16,sgd,302,COMPLETE,50,,,0,
avg16,sgd,303,COMPLETE,50,,,0,
avg16,sgd,304,COMPLETE,50,,,0,
