arm,iv,start,end,window,mean,mean_min,mean_max,star
LR,l2,0,20,0-20,-0.2065606441114416,-0.3026489853645115,-0.11333643490380849,-0.0860184657383444
LR,l2,20,40,20-40,0.082578901561221,0.04325712673053089,0.23852031246759992,0.0484023585005127
LR,l2,40,60,40-60,0.054340992785221504,-0.05457174333652431,0.0796898940933132,0.025882078971322497
LR,l2,60,80,60-80,0.007164884322022502,-0.1275721934700055,0.05349251264343229,0.0326782624582429
LR,l2,80,100,80-100,0.0035086470047960006,-0.1291817999688171,0.0776638484209887,-0.0031874780932525
LR,none,0,20,0-20,-1.8885780368648173,-2.0251377016456735,-1.710612919127556,-1.7840623927739434
LR,none,20,40,20-40,-0.7190635578483655,-0.8517589764165205,-0.47816617452384635,-0.8408733801284947
LR,none,40,60,40-60,-0.7618766699308521,-0.7790887282016992,-0.5568033473619383,-0.5360283419813445
LR,none,60,80,60-80,-0.2386501032191899,-0.32055567079674896,-0.1089761463853316,-0.29423357928263627
LR,none,80,100,80-100,-0.44429429098574014,-0.5087475926956069,-0.1015107356409577,-0.379022102291914
SNA,l2,0,20,0-20,-0.2538715168110035,-0.3307057981357907,-0.210797372514648,-0.15013239714305862
SNA,l2,20,40,20-40,0.025695298116771403,0.006197743176864501,0.11811985116056173,-0.008084817299977898
SNA,l2,40,60,40-60,-0.025237807716983418,-0.04848283577892237,-0.006903997102050308,-0.0029105007855599885
SNA,l2,60,80,60-80,-0.03365977041986601,-0.03670677045190801,0.09918609220462302,0.04410091149212572
SNA,l2,80,100,80-100,0.03634000573593982,-0.1269766595151766,0.0617492874136594,-0.014668769134323023
SNA,none,0,20,0-20,-0.803388226297587,-0.8524852870886968,-0.5846969570766144,-0.7191287046170295
SNA,none,20,40,20-40,-0.15879898842388274,-0.4102001903917767,-0.1452198910936885,-0.2775596935579361
SNA,none,40,60,40-60,-0.14410603968111246,-0.22020444378238513,0.023016896778949802,-0.07674515280322014
SNA,none,60,80,60-80,-0.028224973471872028,-0.08023792466076052,0.06839934344260079,-0.06850992007650802
SNA,none,80,100,80-100,-0.22513147315572302,-0.2907180842987509,-0.11156383206466458,-0.10734804618706373
