scope,arm,iv,seed,metric,window,delta
0-100,LR,l2,0,mean,60-80,-0.1275721934700055
0-100,LR,l2,0,star,0-20,-0.0656059341335339
0-100,LR,l2,1,mean,0-20,-0.3026489853645115
0-100,LR,l2,1,star,0-20,-0.16306072242634018
0-100,LR,l2,2,mean,0-20,-0.2065606441114416
0-100,LR,l2,2,star,0-20,-0.0860184657383444
0-100,LR,none,0,mean,0-20,-1.710612919127556
0-100,LR,none,0,star,0-20,-1.7578542292213741
0-100,LR,none,1,mean,0-20,-2.0251377016456735
0-100,LR,none,1,star,0-20,-1.838464118175354
0-100,LR,none,2,mean,0-20,-1.8885780368648173
0-100,LR,none,2,star,0-20,-1.7840623927739434
0-100,SNA,l2,0,mean,0-20,-0.210797372514648
0-100,SNA,l2,0,star,0-20,-0.1426809780099132
0-100,SNA,l2,1,mean,0-20,-0.3307057981357907
0-100,SNA,l2,1,star,0-20,-0.19062346577583208
0-100,SNA,l2,2,mean,0-20,-0.2538715168110035
0-100,SNA,l2,2,star,0-20,-0.15013239714305862
0-100,SNA,none,0,mean,0-20,-0.5846969570766144
0-100,SNA,none,0,star,0-20,-0.6816021157868878
0-100,SNA,none,1,mean,0-20,-0.8524852870886968
0-100,SNA,none,1,star,0-20,-0.818898406074013
0-100,SNA,none,2,mean,0-20,-0.803388226297587
0-100,SNA,none,2,star,0-20,-0.7191287046170295
20-100,LR,l2,0,mean,60-80,-0.1275721934700055
20-100,LR,l2,0,star,60-80,-0.0522696206631475
20-100,LR,l2,1,mean,40-60,-0.05457174333652431
20-100,LR,l2,1,star,40-60,-0.013088984755219406
20-100,LR,l2,2,mean,80-100,-0.1291817999688171
20-100,LR,l2,2,star,80-100,-0.0405055039239259
20-100,LR,none,0,mean,20-40,-0.8517589764165205
20-100,LR,none,0,star,20-40,-0.854677255942377
20-100,LR,none,1,mean,40-60,-0.5568033473619383
20-100,LR,none,1,star,20-40,-0.7541099247218002
20-100,LR,none,2,mean,40-60,-0.7618766699308521
20-100,LR,none,2,star,20-40,-0.8408733801284947
20-100,SNA,l2,0,mean,40-60,-0.04848283577892237
20-100,SNA,l2,0,star,60-80,-0.057377476219148016
20-100,SNA,l2,1,mean,60-80,-0.03365977041986601
20-100,SNA,l2,1,star,80-100,-0.0388933340575269
20-100,SNA,l2,2,mean,80-100,-0.1269766595151766
20-100,SNA,l2,2,star,40-60,-0.05183385925408571
20-100,SNA,none,0,mean,20-40,-0.4102001903917767
20-100,SNA,none,0,star,20-40,-0.2775596935579361
20-100,SNA,none,1,mean,80-100,-0.22513147315572302
20-100,SNA,none,1,star,80-100,-0.3341248944062509
20-100,SNA,none,2,mean,80-100,-0.2907180842987509
20-100,SNA,none,2,star,20-40,-0.35347233179721393
