arm,iv,seed,N_abs_count,N_only_count,D_count,credit_N_only,credit_D_total,N_credit_per_unit,D_credit_per_unit,N_only_exceeds_D_boundaries
LR,l2,0,70.26315789473684,55.73684210526316,25.0,0.9658945726724208,0.9463809797803189,0.01731365159174275,0.03785523919121275,11
LR,l2,1,70.73684210526316,55.8421052631579,25.0,0.9593162861591487,0.8909278463383522,0.017087447149327542,0.035637113853534096,12
LR,l2,2,70.15789473684211,55.473684210526315,25.0,1.0852080409184648,0.9309499552116924,0.0194268933841359,0.0372379982084677,12
LR,none,0,4.315789473684211,3.736842105263158,25.0,0.24477826252335405,0.6041851545437534,0.06527335239354524,0.02416740618175014,3
LR,none,1,4.7894736842105265,4.0,25.0,0.27307373519042427,0.6094189098696373,0.06822125085710581,0.024376756394785492,1
LR,none,2,3.8421052631578947,3.3157894736842106,25.0,0.22374966194481127,0.5749741006423196,0.06755746302315074,0.02299896402569278,1
SNA,l2,0,79.26315789473684,59.8421052631579,25.0,1.427913965015795,0.8029167166789924,0.02380982354340664,0.0321166686671597,19
SNA,l2,1,80.10526315789474,61.421052631578945,25.0,1.4964709277898767,0.8006088480635788,0.024283535585634633,0.03202435392254316,19
SNA,l2,2,79.57894736842105,60.421052631578945,25.0,1.4555928178100561,0.8681018236145115,0.02408603375961129,0.03472407294458046,19
SNA,none,0,20.0,19.210526315789473,25.0,0.6145289118941859,0.5738876796117269,0.032124468590894545,0.022955507184469082,11
SNA,none,1,21.157894736842106,20.473684210526315,25.0,0.6581880202519982,0.562445762283207,0.032532489307677034,0.02249783049132828,15
SNA,none,2,19.68421052631579,18.894736842105264,25.0,0.6541332743964567,0.6118450823077728,0.03480591500619232,0.024473803292310914,10
