arm,iv,seed,original_exact,max_z_error,max_star_error,wall_seconds
LR,l2,0,False,4.473728656768799,2.4963414669036865,56.0037877340219
LR,l2,1,False,4.523022651672363,2.2803637981414795,86.44592305098195
LR,l2,2,False,4.886782169342041,3.2968015670776367,57.25066480698297
LR,none,0,False,23.285030364990234,19.349864959716797,62.04732963797869
LR,none,1,False,15.436737060546875,12.744482040405273,66.92745213402668
LR,none,2,False,12.524069786071777,9.404781341552734,151.84058236295823
SNA,l2,0,False,3.962479591369629,2.4064438343048096,102.26267149101477
SNA,l2,1,False,3.4729578495025635,1.8645155429840088,62.005273176007904
SNA,l2,2,False,3.910209894180298,1.7723488807678223,59.67950096097775
SNA,none,0,False,6.878349304199219,3.8764140605926514,174.02064747095574
SNA,none,1,False,7.179463863372803,3.5995407104492188,113.65686143102357
SNA,none,2,False,8.103084564208984,6.218587875366211,64.5667456050287
