arm,iv,task,mean,q10,q50,q90,within,between,star,star_W,bias
LR,l2,20,-0.2084453724150367,-0.9432582135307116,-0.3473043428652634,0.5890817173337574,0.83701572499565,0.5873108067745121,-0.0875768298161131,-0.126034667205837,0.0384578373897238
LR,l2,40,-0.052645371499567,-0.8608348760626193,-0.1858334362354689,0.8117414339472453,0.8407664413978992,0.5072888130348692,-0.0389695643747596,-0.089763967132652,0.0433875751588493
LR,l2,60,-0.0854983515911926,-0.826642170610549,-0.2470666128065988,0.8982099618154077,0.8111548149716539,0.5375293646343711,-0.0330722262928759,-0.0687800468727221,0.0397106307928334
LR,l2,80,-0.0937813593338002,-0.9410662996089766,-0.1845010353299102,0.9400905923852564,0.8346753681331269,0.5836560562740644,-0.0009859602036793,-0.0404088612647158,0.0400148974300827
LR,l2,100,-0.122367925179555,-0.9337007849981588,-0.2568046711985102,0.9035665368435718,0.8203350762891846,0.6151706608621559,-0.0245036422573341,-0.0694952618140107,0.036626205589855
LR,none,20,-1.8904627651684125,-3.4859811018399403,-2.143382762579103,0.0990982103325992,2.694928577451169,2.0742635802635707,-1.7856207568517122,-1.8086477766588027,0.0201958330965135
LR,none,40,-2.584259733701056,-4.869202297879966,-2.883890218306369,-0.1246677295165857,4.129130218966567,3.8106835897374354,-2.621427395730326,-2.617432269533335,0.0094506382429972
LR,none,60,-3.3633484619027554,-6.05042126722864,-3.7899352991959225,-0.1751911355215117,5.717277891608652,5.456214057359147,-3.1574557377116705,-3.1374157649847167,-0.0323812138009816
LR,none,80,-3.472324608288087,-6.355838292805185,-3.938388807969744,-0.0236282070399321,6.910090072389551,6.916060566344122,-3.440604580198852,-3.334740312046343,-0.0714036858742838
LR,none,100,-3.871656314446201,-7.395354974576166,-3.9999295562519457,-0.0145875787388882,7.774089321231035,10.664163621813042,-3.763319220924633,-3.6087631159402656,-0.1369740007200744
SNA,l2,20,-0.2557562451145986,-0.82447508054999,-0.1560545489946785,0.467023547113381,0.80546407564617,0.8385311859050704,-0.1516907612208273,-0.1840627600296397,0.0322543272469192
SNA,l2,40,-0.2069899125548561,-0.726012781949056,-0.1053009124434177,0.3735413786781644,0.7890370708252122,0.9147016089453276,-0.1677227406723889,-0.2022551471875979,0.034532406515209
SNA,l2,60,-0.2554727483337785,-0.6261388723188639,-0.1568757487787789,0.3455001456947851,0.788083903674502,0.9684250838119924,-0.1804311763665431,-0.2106745430668491,0.0293038044276181
SNA,l2,80,-0.2537293525344652,-0.7271290003978403,-0.1080598748940592,0.3140878461458432,0.7831297368946919,0.9654629055973544,-0.1754556884343489,-0.2044360901369234,0.0298827242664992
SNA,l2,100,-0.2304302313720271,-0.7068270215804683,-0.1931086083648145,0.3902763293077355,0.785320963098429,1.0107495705254432,-0.175371903503546,-0.2061059624620243,0.029080923878937
SNA,none,20,-0.8052729546011821,-1.705336294725064,-0.6868290405261384,0.2127203350041102,1.5867156649241918,1.0585248997609196,-0.7206870686947981,-0.7338768748180623,0.0146903273943462
SNA,none,40,-0.979951005604772,-1.9070191117977464,-0.8324830987438555,0.0437612062230958,2.1984115627110743,2.3254799533431307,-0.9895278774725234,-1.007486017175201,0.0179581397026777
SNA,none,60,-1.1240570452858845,-2.0822969567877694,-0.9757404082828124,0.064716633204395,2.857623649726753,5.164688692600229,-1.0662730302757435,-1.0763369621618502,0.0100639318861067
SNA,none,80,-1.1522820187577565,-2.3225925911132155,-0.8777845144085689,0.1943876325731041,3.4676654402439766,8.123793344512212,-1.1347829503522515,-1.1447735499081464,0.0099905995558947
SNA,none,100,-1.3774134919134795,-2.4461783384573965,-1.0639463942268603,-0.0034996921060482,3.985866355653592,8.689868136698697,-1.4361562901636655,-1.4281066534406577,0.006828749612905
