arm,iv,seed,task,mean,q10,q50,q90,within,between,star,star_W,bias
LR,none,0,20,-1.7325007572845357,-3.645194294977587,-2.143382762579103,0.4058471048448435,2.687865710492,2.7662517456930016,-1.766750139787949,-1.8086477766588027,0.0418976368708536
LR,none,0,21,-1.856966053111307,-3.5039804574256475,-1.9471816761504677,0.3976468789499438,2.873007838411034,2.5274950554698443,-1.8182064049431628,-1.859454343643416,0.0412479387002531
LR,none,0,22,-1.9276103493189003,-3.805678583975813,-2.302825156790491,0.5593384268453339,3.0134930873532384,2.81739284173138,-1.843606765088202,-1.88162871375172,0.0380219486635178
LR,none,0,23,-1.928739005164037,-3.727424724630628,-2.285023523218384,0.5224090712678197,3.107713140125091,3.151803388102569,-1.8472417933297136,-1.8866963711417075,0.0394545778119936
LR,none,0,24,-1.933294152951714,-3.682310144524696,-2.151885722581302,0.2897931428438043,3.17577008729726,2.433132914687357,-1.8763073099491128,-1.912295825872204,0.0359885159230907
LR,none,0,25,-2.0149359259062147,-3.8180435280774048,-2.277676243404869,0.3353481070744428,3.207923588836725,2.9934126380500685,-1.9257067390283409,-1.959676068779903,0.0339693297515623
LR,none,0,26,-2.0302833195672267,-4.07256645020656,-2.356896265967712,0.4960753494207269,3.291478450022613,3.3051269474865808,-2.0062324883488065,-2.0388954937296977,0.0326630053808912
LR,none,0,27,-2.018221561901215,-3.9957126696182095,-2.211308301242477,0.5472746999821484,3.4676800215827925,3.343127438876188,-1.9783652189090248,-2.0119873457537363,0.0336221268447116
LR,none,0,28,-2.225386425497108,-4.4193947868925525,-2.4792184948053926,-0.089840929152138,3.570440456004401,3.2136669051872206,-2.0661690660207257,-2.098443503950462,0.0322744379297364
LR,none,0,29,-2.142908793137712,-4.547666972123708,-2.429944549831319,0.6576276827779043,3.64020034880704,3.959273612556732,-2.105550435988554,-2.135090902147205,0.0295404661586508
LR,none,0,30,-2.3326299881481334,-4.617946215906862,-2.4208897691543667,0.2271411739318377,3.878669149992458,3.616713915869498,-2.263801584181176,-2.291797631954662,0.0279960477734857
LR,none,0,31,-2.1961968282803377,-4.262005421954181,-2.3322274203440982,0.2696607104797572,3.6167723651450414,3.234265814530238,-2.203440936459679,-2.231925259107243,0.0284843226475641
LR,none,0,32,-2.4711366984568395,-4.90312062207911,-2.777116371583639,0.1918514960141188,3.629613425355665,3.720637768022837,-2.3570126681168397,-2.383723550870817,0.0267108827539777
LR,none,0,33,-2.3041589168556755,-4.515483067098073,-2.703879056529688,0.6834912994715474,3.764299028103567,3.801297230038882,-2.4112750490351185,-2.4366984577923154,0.0254234087571967
LR,none,0,34,-2.4256219855026755,-4.804143224811924,-2.6373625681933106,0.4534900546994382,3.9880063524144735,4.097758642322972,-2.394680544617892,-2.4189661113804477,0.0242855667625553
LR,none,0,35,-2.5167899443400628,-4.7378076834065785,-2.7189807176468914,0.0255856343934102,4.070106360948274,3.719063165005153,-2.3980713989122915,-2.422283387802602,0.0242119888903107
LR,none,0,36,-2.6683228674732167,-5.450964742251325,-2.8359962411889583,-0.0645170331714707,4.429483073242761,4.18810596665671,-2.4149192809650746,-2.4368269492254666,0.0219076682603918
LR,none,0,37,-2.70197007446626,-5.249585505983894,-2.585177785911898,-0.0492141792129086,4.423858783839187,3.8547773076503393,-2.459134854763929,-2.4774757275916137,0.0183408728276845
LR,none,0,38,-2.561611347235711,-4.7545872205717785,-2.864055957468897,0.083344627973638,4.363644746393618,4.057024304541344,-2.484058649437657,-2.5024749153062387,0.0184162658685818
LR,none,0,39,-2.6482165030427023,-4.75774273054031,-2.77651586645493,0.1212352896598567,4.406309875305377,3.5796388554709906,-2.5305332844216624,-2.5486021841865747,0.0180688997649122
LR,none,0,40,-2.584259733701056,-4.529528576749461,-2.951780777830316,-0.1246677295165857,4.498594045718547,3.5848069511778777,-2.621427395730326,-2.6367381019599736,0.0153107062296476
LR,none,0,41,-2.8199866863620726,-5.210458329168892,-3.079678256130825,-0.191950379672942,4.585198703444523,4.114342182932052,-2.816486123251563,-2.822937772327752,0.0064516490761889
LR,none,0,42,-2.84087707152066,-5.578651706658675,-3.074255082574053,-0.0355360953026063,4.8758294961162205,4.260005539301912,-2.8024699532917454,-2.80826696408463,0.0057970107928849
LR,none,0,43,-2.674292389227677,-4.938515241376988,-2.9391797197924503,0.5089932509041788,4.758053255773806,4.780521198885274,-2.751477468105912,-2.7600817094529693,0.0086042413470568
LR,none,0,44,-2.69272797098082,-4.886482164038773,-3.0335655163838684,0.0437146647190727,4.689070906056973,3.902981642011272,-2.7475075978943595,-2.753627752273528,0.0061201543791685
LR,none,0,45,-2.9066948552400027,-5.865327140538282,-3.3891223765367866,0.4136482437171477,4.878138240439659,5.029152507451888,-2.733650804206302,-2.740654925131277,0.0070041209249757
LR,none,0,46,-3.0587012586341715,-5.698899654381358,-3.329379960426321,-0.0159251956225192,5.306895308310281,6.132177342506568,-2.78151180949766,-2.7867910160008424,0.0052792065031826
LR,none,0,47,-2.7594971334767195,-4.966623701603111,-3.199970767011661,0.3441558837973578,4.934843185684392,5.127551718614011,-2.8504609469524755,-2.854153776609851,0.0036928296573751
LR,none,0,48,-2.82832028667007,-5.034883503940976,-3.231799955393305,-0.022881208010552,5.12877064626727,5.506545630895841,-2.856154808894618,-2.8607106349187705,0.0045558260241523
LR,none,0,49,-2.980767132955469,-5.707187213826582,-3.3335943460736663,0.1465356577936204,4.959683798802011,4.921920118695469,-2.8356873195816537,-2.8423999325291027,0.006712612947449
LR,none,0,50,-3.028904350203605,-5.261855189638311,-3.14470182136029,-0.2715687629819301,5.346484707976991,4.549719477020719,-2.925233891631666,-2.9282725608881592,0.0030386692564934
LR,none,0,51,-3.288489616304612,-6.06908296603335,-3.6716227619911694,0.1718109882723108,5.893947172183757,5.423006853927251,-3.0265705493254647,-3.026642239441776,7.169011631049216e-05
LR,none,0,52,-3.1088712019051217,-5.3190511467353305,-3.3196946125690943,-0.5104444611992417,5.486738308806244,4.722068563411329,-3.031095275562685,-3.029472327232789,-0.0016229483298957
LR,none,0,53,-3.084997494611812,-6.068368413599286,-3.1682789448105733,-0.272994693916765,5.540546114484399,5.298186919707085,-3.010833578474648,-3.0057350373829275,-0.0050985410917201
LR,none,0,54,-2.9312221219013126,-5.65573574910659,-2.910095090612629,0.1771680429034947,5.35804431480766,5.34805570229467,-2.941833686052292,-2.935425058159767,-0.0064086278925242
LR,none,0,55,-2.976302799352863,-5.549058175671225,-3.2953723155859693,0.1125711492526132,5.57609991314857,5.295670232303099,-2.966430931522282,-2.9561356235932363,-0.0102953079290455
LR,none,0,56,-3.0985910836869084,-6.14847672783854,-3.4601183199896983,0.3367486124060111,5.7119771224387605,6.652422678490152,-2.962050307544574,-2.9497297649913667,-0.0123205425532069
LR,none,0,57,-2.977700681634347,-5.499210697978826,-3.374635452399341,0.0871006705917265,5.600063870221723,5.346731116749539,-2.947905544214093,-2.936762089537599,-0.011143454676494
LR,none,0,58,-2.983865789144072,-5.179097070378562,-3.3797603346004683,0.1614124705697967,5.639955437156528,5.869726875661644,-2.8944038063353155,-2.8833171221702587,-0.0110866841650567
LR,none,0,59,-3.246289737139737,-5.610641541646437,-3.462895009496832,-0.1737381076931566,5.9295793388771365,5.3789806033560765,-3.048298843238745,-3.0319147191262257,-0.0163841241125192
LR,none,0,60,-3.3633484619027554,-6.761710842335093,-3.863423447236667,0.1679362191637206,5.717277891608652,7.324208219617154,-3.1574557377116705,-3.1374157649847167,-0.0200399727269541
LR,none,0,61,-3.2509319822476237,-5.513489405099464,-3.798725072811591,-0.2403775007642562,5.881375011341071,5.163996078947318,-3.237886405447099,-3.2163358005551355,-0.0215506048919633
