n,zmean_median,m_positive_mean,m_negative_abs_mean,m_net_mean,m_abs_median,imbalance_median,both_signs_frac,quiet_moment_frac,self_b_up_frac,self_b_down_frac,all_z_negative_frac,all_g_negative_frac,gabs_mean_median,abs_v_median,self_b_force_abs_median,full_b_force_abs_median,self_meanz_up_frac,full_meanz_up_frac,whole_shift_slope_positive_frac,near_balance_stable_frac,near_balance_0.05_frac,near_balance_0.1_frac,near_balance_0.2_frac,quiet_1e-12_frac,quiet_1e-08_frac,quiet_0.0001_frac,pooled_imbalance,label,step,activation,alpha,width,seeds,lr,centered
1000,0.05361944040019973,0.4252515652634504,0.003920247288880378,0.4213313179745701,0.1714065344067493,1.0,0.497,0.0,0.278,0.722,0.234,0.0,0.60625,0.08497150614857674,0.0010319468604920827,0.0468317326784934,0.277,0.491,1.0,0.006,0.004,0.006,0.015,0.0,0.0,0.0,0.9817311054723457,leaky100,0,leaky_relu,0.1,100,10,0.01,True
1000,-2.971117680874387,0.037882321657424715,0.029863559674619008,0.00801876198280571,0.03706849308742417,1.0,0.26,0.0,0.802,0.198,0.74,0.0,0.10000000000000002,0.6779462695121765,0.029380250663184365,0.0016394177369071362,0.803,0.493,1.0,0.032,0.016,0.032,0.068,0.0,0.0,0.0,0.11836530612840142,leaky100,1000000,leaky_relu,0.1,100,10,0.01,True
1000,-3.7283636195884693,0.04105659138006429,0.03667453035723071,0.00438206102283358,0.04628418017376949,1.0,0.373,0.0,0.776,0.224,0.627,0.0,0.10000000000000002,0.6002847850322723,0.026956003926431188,0.0004577081357328032,0.776,0.483,1.0,0.044,0.027,0.044,0.079,0.0,0.0,0.0,0.05637460163824046,leaky100,5000000,leaky_relu,0.1,100,10,0.01,True
1000,0.05361944040019973,0.4252515652634504,0.08948178070602159,0.3357697845574288,0.2440628144433761,1.0,0.497,0.0,0.435,0.565,0.234,0.0,0.9067249255370631,0.08497150614857674,0.003317778218093784,0.0810102243311793,0.436,0.489,0.81,0.02,0.009,0.02,0.05,0.0,0.0,0.0,0.6523179179795021,elu100,0,elu,1.0,100,10,0.01,True
1000,-2.6108179071949595,0.048294466629449105,0.035741808733292385,0.012552657896156725,0.043852875224223146,0.4558861980197304,0.659,0.0,0.667,0.333,0.341,0.0,0.24775115290613703,0.23898696899414062,0.0012624996770184427,0.00048647155556760433,0.674,0.485,0.667,0.132,0.066,0.132,0.267,0.0,0.0,0.002,0.1493718973380643,elu100,1000000,elu,1.0,100,10,0.01,True
1000,-6.209966745463289,0.0330000857283606,0.023977717308354293,0.00902236842000631,0.022229663665931744,0.43575543787001314,0.645,0.0,0.606,0.394,0.355,0.0,0.05629553320821313,0.21982114762067795,0.0006133314360125149,0.00011313909516539437,0.596,0.537,0.68,0.131,0.067,0.131,0.255,0.0,0.0,0.009,0.15834882952915103,elu100,5000000,elu,1.0,100,10,0.01,True
1000,0.05361944040019973,0.31202122896512763,0.011952722031386632,0.3000685069337411,0.09191416287659983,0.929935176599088,0.691,0.0,0.324,0.676,0.234,0.016,0.5253843183111633,0.08497150614857674,0.0007048452785735904,0.04804851223631132,0.318,0.495,0.751,0.024,0.015,0.035,0.071,0.0,0.0,0.0,0.9262118328055627,silu100,0,silu,1.0,100,10,0.01,True
1000,-8.4628670340609,0.023095412849673036,0.0005439530347423548,0.02255145981493068,0.00029885863096285915,1.0,0.151,0.001,0.003,0.997,0.907,0.839,0.006880596420959572,1.9276436567306519,0.0009156407147068294,0.0005197457702592011,0.003,0.536,0.958,0.005,0.003,0.005,0.011,0.0,0.001,0.399,0.9539790502501623,silu100,1000000,silu,1.0,100,10,0.01,True
1000,-16.319324697927286,9.336662264389006e-05,2.4297331037950563e-05,6.90692916059395e-05,2.3248301966070627e-08,1.0,0.017,0.45,0.007,0.993,0.998,0.981,4.2224027914809035e-05,7.584943056106567,1.4143964515567225e-06,4.1117727851771305e-05,0.007,0.5,0.987,0.001,0.001,0.002,0.009,0.117,0.45,0.9,0.587004681082709,silu100,5000000,silu,1.0,100,10,0.01,True
1000,0.05361944040019973,0.31202122896512763,0.011952722031386632,0.3000685069337411,0.09191416287659983,0.929935176599088,0.691,0.0,0.324,0.676,0.234,0.016,0.5253843183111633,0.08497150614857674,0.0007048452785735904,0.04804851223631132,0.318,0.495,0.751,0.024,0.015,0.035,0.071,0.0,0.0,0.0,0.9262118328055627,silu100_gd,0,silu,1.0,100,10,0.01,True
1000,-8.4628670340609,0.023095412849673036,0.0005439530347423548,0.02255145981493068,0.00029885863096285915,1.0,0.151,0.001,0.003,0.997,0.907,0.839,0.006880596420959572,1.9276436567306519,0.0009156407147068294,0.0005197457702592011,0.003,0.536,0.958,0.005,0.003,0.005,0.011,0.0,0.001,0.399,0.9539790502501623,silu100_gd,1000000,silu,1.0,100,10,0.01,True
1000,-16.319324697927286,9.336662264389006e-05,2.4297331037950563e-05,6.90692916059395e-05,2.3248301966070627e-08,1.0,0.017,0.45,0.007,0.993,0.998,0.981,4.2224027914809035e-05,7.584943056106567,1.4143964515567225e-06,4.1117727851771305e-05,0.007,0.5,0.987,0.001,0.001,0.002,0.009,0.117,0.45,0.9,0.587004681082709,silu100_gd,5000000,silu,1.0,100,10,0.01,True
