optimizer,metric,n_seed,median,min,max
adam,R50_over_R0,5,0.3498706652525399,0.3375741322648566,0.3640781347737863
adam,R_posttask_over_R0_41_50_median,5,0.3533670171399333,0.3369530399829509,0.35899313242419306
sgd,R50_over_R0,5,0.6876516381394807,0.6634414465897656,0.7082908445327922
sgd,R_posttask_over_R0_41_50_median,5,0.6955586827547061,0.6611673583313656,0.7156599744017279
