geometry,optimizer,seed,R0_actual,R50_posttask,R50_over_R0,R_posttask_41_50_median,R_posttask_over_R0_41_50_median,source_t000,source_t050
rgb32,adam,300,1.4539855600099385,191.33344035031476,131.59239377109557,183.4684515087676,126.18313176886952,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed300/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed300/t050.npz
rgb32,adam,301,1.4595344294411063,184.6282008533708,126.4980100017714,181.985421801977,124.68730996065914,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed301/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed301/t050.npz
rgb32,adam,302,1.4671841977722784,189.16083570131207,128.9278033313931,184.2184084349346,125.55915522716603,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed302/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed302/t050.npz
rgb32,adam,303,1.374406397177089,186.87372462029327,135.96686176964516,182.4077934013137,132.71750901040875,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed303/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed303/t050.npz
rgb32,adam,304,1.4361287366797153,185.45221784366447,129.1334217518857,184.60524381431065,128.54365984007268,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed304/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed304/t050.npz
rgb32,sgd,300,1.4539855600099385,42.34435811919332,29.122956433559,41.246667592574696,28.368003594404854,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed300/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed300/t050.npz
rgb32,sgd,301,1.4595344294411063,40.99183687539266,28.085556632665046,41.07355281329742,28.141544306718103,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed301/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed301/t050.npz
rgb32,sgd,302,1.4671841977722784,41.16066928725593,28.054193433757575,41.25316408735133,28.117235824914623,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed302/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed302/t050.npz
rgb32,sgd,303,1.374406397177089,42.0082760501724,30.564668599079383,41.04033039165513,29.860404081317142,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed303/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed303/t050.npz
rgb32,sgd,304,1.4361287366797153,41.547374818486205,28.930118698510576,41.35083205556406,28.79326274827276,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed304/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed304/t050.npz
avg16,adam,300,1.378352190571416,62.344375919374414,45.231092855541256,61.45928639985762,44.58895688654057,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t050.npz
avg16,adam,301,1.3741934585067237,63.2886989621623,46.0551595340407,61.09948954787733,44.46207276686609,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t050.npz
avg16,adam,302,1.373745813755687,61.967003537771184,45.108056321103135,61.921420066875555,45.074874439535826,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed302/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed302/t050.npz
avg16,adam,303,1.337461133189891,64.38239568020961,48.13776945177867,61.05942273208265,45.6532314972427,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed303/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed303/t050.npz
avg16,adam,304,1.4127981735665631,61.58684320969112,43.59210279428457,61.19277729147761,43.313176953646845,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed304/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed304/t050.npz
avg16,sgd,300,1.378352190571416,27.60349943363491,20.026448699001577,27.36493295981075,19.85336777276511,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/sgd/seed300/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/sgd/seed300/t050.npz
avg16,sgd,301,1.3741934585067237,27.128259960321056,19.741223328045933,27.67594964176751,20.13977687817097,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/sgd/seed301/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/sgd/seed301/t050.npz
avg16,sgd,302,1.373745813755687,27.2970551515022,19.870528359882467,26.866604474930085,19.557187513081047,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/sgd/seed302/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/sgd/seed302/t050.npz
avg16,sgd,303,1.337461133189891,27.12086024696161,20.277867949910007,27.085685849413625,20.25156857067938,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/sgd/seed303/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/sgd/seed303/t050.npz
avg16,sgd,304,1.4127981735665631,27.159459124710605,19.223877573501834,26.895672604510843,19.03716546901642,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/sgd/seed304/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/sgd/seed304/t050.npz
