optimizer,seed,metric,avg16_growth,rgb32_growth,paired_growth_ratio_avg16_over_rgb32
adam,300,R50_over_R0,45.231092855541256,131.59239377109557,0.34372117992032697
adam,300,R_posttask_over_R0_41_50_median,44.58895688654057,126.18313176886952,0.3533670171399333
adam,301,R50_over_R0,46.0551595340407,126.4980100017714,0.3640781347737863
adam,301,R_posttask_over_R0_41_50_median,44.46207276686609,124.68730996065914,0.35658859575120033
adam,302,R50_over_R0,45.108056321103135,128.9278033313931,0.3498706652525399
adam,302,R_posttask_over_R0_41_50_median,45.074874439535826,125.55915522716603,0.35899313242419306
adam,303,R50_over_R0,48.13776945177867,135.96686176964516,0.35404045386686644
adam,303,R_posttask_over_R0_41_50_median,45.6532314972427,132.71750901040875,0.34398800759334786
adam,304,R50_over_R0,43.59210279428457,129.1334217518857,0.3375741322648566
adam,304,R_posttask_over_R0_41_50_median,43.313176953646845,128.54365984007268,0.3369530399829509
sgd,300,R50_over_R0,20.026448699001577,29.122956433559,0.6876516381394807
sgd,300,R_posttask_over_R0_41_50_median,19.85336777276511,28.368003594404854,0.6998507211371363
sgd,301,R50_over_R0,19.741223328045933,28.085556632665046,0.7028959256974742
sgd,301,R_posttask_over_R0_41_50_median,20.13977687817097,28.141544306718103,0.7156599744017279
sgd,302,R50_over_R0,19.870528359882467,28.054193433757575,0.7082908445327922
sgd,302,R_posttask_over_R0_41_50_median,19.557187513081047,28.117235824914623,0.6955586827547061
sgd,303,R50_over_R0,20.277867949910007,30.564668599079383,0.6634414465897656
sgd,303,R_posttask_over_R0_41_50_median,20.25156857067938,29.860404081317142,0.6782081218837306
sgd,304,R50_over_R0,19.223877573501834,28.930118698510576,0.6644935602871048
sgd,304,R_posttask_over_R0_41_50_median,19.03716546901642,28.79326274827276,0.6611673583313656
