geometry,optimizer,metric,n_seed,median,min,max
avg16,adam,R0_actual,5,1.3741934585067237,1.337461133189891,1.4127981735665631
avg16,adam,R50_posttask,5,62.344375919374414,61.58684320969112,64.38239568020961
avg16,adam,R_posttask_41_50_median,5,61.19277729147761,61.05942273208265,61.921420066875555
avg16,adam,R50_over_R0,5,45.231092855541256,43.59210279428457,48.13776945177867
avg16,adam,R_posttask_over_R0_41_50_median,5,44.58895688654057,43.313176953646845,45.6532314972427
avg16,sgd,R0_actual,5,1.3741934585067237,1.337461133189891,1.4127981735665631
avg16,sgd,R50_posttask,5,27.159459124710605,27.12086024696161,27.60349943363491
avg16,sgd,R_posttask_41_50_median,5,27.085685849413625,26.866604474930085,27.67594964176751
avg16,sgd,R50_over_R0,5,19.870528359882467,19.223877573501834,20.277867949910007
avg16,sgd,R_posttask_over_R0_41_50_median,5,19.85336777276511,19.03716546901642,20.25156857067938
rgb32,adam,R0_actual,5,1.4539855600099385,1.374406397177089,1.4671841977722784
rgb32,adam,R50_posttask,5,186.87372462029327,184.6282008533708,191.33344035031476
rgb32,adam,R_posttask_41_50_median,5,183.4684515087676,181.985421801977,184.60524381431065
rgb32,adam,R50_over_R0,5,129.1334217518857,126.4980100017714,135.96686176964516
rgb32,adam,R_posttask_over_R0_41_50_median,5,126.18313176886952,124.68730996065914,132.71750901040875
rgb32,sgd,R0_actual,5,1.4539855600099385,1.374406397177089,1.4671841977722784
rgb32,sgd,R50_posttask,5,41.547374818486205,40.99183687539266,42.34435811919332
rgb32,sgd,R_posttask_41_50_median,5,41.246667592574696,41.04033039165513,41.35083205556406
rgb32,sgd,R50_over_R0,5,28.930118698510576,28.054193433757575,30.564668599079383
rgb32,sgd,R_posttask_over_R0_41_50_median,5,28.368003594404854,28.117235824914623,29.860404081317142
