geometry,optimizer,seed,task,R0_actual,R_posttask,R_posttask_over_R0,source_snapshot
avg16,adam,301,46,1.3741934585067237,60.887924372985815,44.308116878354284,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t046.npz
avg16,adam,301,47,1.3741934585067237,61.30924452930484,44.61471137835784,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t047.npz
avg16,adam,301,48,1.3741934585067237,62.50678836477381,45.486163522199575,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t048.npz
avg16,adam,301,49,1.3741934585067237,61.07746060766903,44.44604231637025,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t049.npz
avg16,adam,301,50,1.3741934585067237,63.2886989621623,46.0551595340407,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t050.npz
avg16,adam,302,41,1.373745813755687,61.2055236335492,44.55374714935019,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed302/t041.npz
avg16,adam,302,42,1.373745813755687,60.79731671509395,44.256598350520186,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed302/t042.npz
avg16,adam,302,43,1.373745813755687,61.61673871667363,44.85308570165501,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed302/t043.npz
avg16,adam,302,44,1.373745813755687,63.29792892136908,46.076885758303945,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed302/t044.npz
avg16,adam,302,45,1.373745813755687,62.78719211496202,45.705101690761815,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed302/t045.npz
avg16,adam,302,46,1.373745813755687,62.78206490829771,45.701369408841124,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed302/t046.npz
avg16,adam,302,47,1.373745813755687,61.84002030843922,45.01562056766138,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed302/t047.npz
avg16,adam,302,48,1.373745813755687,61.99097733489369,45.12550772796636,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed302/t048.npz
avg16,adam,302,49,1.373745813755687,61.87583659597993,45.04169255796852,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed302/t049.npz
avg16,adam,302,50,1.373745813755687,61.967003537771184,45.108056321103135,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed302/t050.npz
avg16,adam,303,41,1.337461133189891,60.37225232643131,45.13944430104029,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed303/t041.npz
avg16,adam,303,42,1.337461133189891,60.23934268783917,45.04006972087949,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed303/t042.npz
avg16,adam,303,43,1.337461133189891,60.587440770536766,45.30033753282507,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed303/t043.npz
avg16,adam,303,44,1.337461133189891,60.383345614215216,45.14773858900771,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed303/t044.npz
avg16,adam,303,45,1.337461133189891,61.01971642908764,45.62354367902528,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed303/t045.npz
avg16,adam,303,46,1.337461133189891,61.73627651568803,46.15930510701637,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed303/t046.npz
avg16,adam,303,47,1.337461133189891,61.09912903507766,45.682919315460126,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed303/t047.npz
avg16,adam,303,48,1.337461133189891,61.81270358642956,46.21644850269715,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed303/t048.npz
avg16,adam,303,49,1.337461133189891,62.363535041536,46.62829707267591,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed303/t049.npz
avg16,adam,303,50,1.337461133189891,64.38239568020961,48.13776945177867,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed303/t050.npz
